instNum;Instance;BD_Optimal;BD_Makespan;BD_Iters;BD_Runtime (s)
1;inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn;1;61;2;0.47
2;inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn;1;66;3;0.2
3;inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn;1;54;4;2.24
4;inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn;1;58;1;0.15
5;inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn;1;52;5;2.13
6;inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn;1;47;5;2.97
7;inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn;1;48;1;0.07
8;inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn;1;39;4;0.31
9;inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn;1;49;3;0.17
10;inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn;1;53;3;0.19
11;inst_set1a_sf0.5_nc1.5_n20_m13_04.dzn;1;49;2;0.12
12;inst_set1a_sf0.5_nc1.5_n20_m13_05.dzn;1;40;1;0.07
13;inst_set1a_sf0.5_nc1.5_n20_m15_00.dzn;1;46;2;0.13
14;inst_set1a_sf0.5_nc1.5_n20_m15_01.dzn;1;40;3;0.19
15;inst_set1a_sf0.5_nc1.5_n20_m15_02.dzn;1;40;2;0.13
16;inst_set1a_sf0.5_nc1.5_n20_m15_03.dzn;1;38;1;0.08
17;inst_set1a_sf0.5_nc1.5_n20_m15_04.dzn;1;50;1;0.08
18;inst_set1a_sf0.5_nc1.5_n20_m15_05.dzn;1;59;2;0.13
19;inst_set1a_sf0.5_nc1.8_n20_m10_00.dzn;1;54;2;0.73
20;inst_set1a_sf0.5_nc1.8_n20_m10_01.dzn;1;72;3;3.51
21;inst_set1a_sf0.5_nc1.8_n20_m10_02.dzn;1;51;2;1.43
22;inst_set1a_sf0.5_nc1.8_n20_m10_03.dzn;1;46;3;0.3
23;inst_set1a_sf0.5_nc1.8_n20_m10_04.dzn;1;59;3;1.19
24;inst_set1a_sf0.5_nc1.8_n20_m10_05.dzn;1;60;2;0.26
25;inst_set1a_sf0.5_nc1.8_n20_m13_00.dzn;1;48;3;0.77
26;inst_set1a_sf0.5_nc1.8_n20_m13_01.dzn;1;42;2;0.14
27;inst_set1a_sf0.5_nc1.8_n20_m13_02.dzn;1;48;1;0.07
28;inst_set1a_sf0.5_nc1.8_n20_m13_03.dzn;1;39;2;0.16
29;inst_set1a_sf0.5_nc1.8_n20_m13_04.dzn;1;37;3;0.28
30;inst_set1a_sf0.5_nc1.8_n20_m13_05.dzn;1;45;3;0.44
31;inst_set1a_sf0.5_nc1.8_n20_m15_00.dzn;1;37;2;0.13
32;inst_set1a_sf0.5_nc1.8_n20_m15_01.dzn;1;44;1;0.08
33;inst_set1a_sf0.5_nc1.8_n20_m15_02.dzn;1;40;2;0.14
34;inst_set1a_sf0.5_nc1.8_n20_m15_03.dzn;1;44;2;0.14
35;inst_set1a_sf0.5_nc1.8_n20_m15_04.dzn;1;38;2;0.14
36;inst_set1a_sf0.5_nc1.8_n20_m15_05.dzn;1;45;2;0.14
37;inst_set1a_sf0.5_nc2.1_n20_m10_00.dzn;1;61;2;0.56
38;inst_set1a_sf0.5_nc2.1_n20_m10_01.dzn;1;85;3;8.68
39;inst_set1a_sf0.5_nc2.1_n20_m10_02.dzn;1;59;4;0.33
40;inst_set1a_sf0.5_nc2.1_n20_m10_03.dzn;1;65;2;0.9
41;inst_set1a_sf0.5_nc2.1_n20_m10_04.dzn;1;87;2;0.9
42;inst_set1a_sf0.5_nc2.1_n20_m10_05.dzn;1;45;2;0.12
43;inst_set1a_sf0.5_nc2.1_n20_m13_00.dzn;1;54;2;0.14
44;inst_set1a_sf0.5_nc2.1_n20_m13_01.dzn;1;50;1;0.26
45;inst_set1a_sf0.5_nc2.1_n20_m13_02.dzn;1;52;4;0.26
46;inst_set1a_sf0.5_nc2.1_n20_m13_03.dzn;1;53;3;0.19
47;inst_set1a_sf0.5_nc2.1_n20_m13_04.dzn;1;40;2;0.14
48;inst_set1a_sf0.5_nc2.1_n20_m13_05.dzn;1;51;3;0.19
49;inst_set1a_sf0.5_nc2.1_n20_m15_00.dzn;1;56;3;0.25
50;inst_set1a_sf0.5_nc2.1_n20_m15_01.dzn;1;36;3;0.2
51;inst_set1a_sf0.5_nc2.1_n20_m15_02.dzn;1;56;2;0.13
52;inst_set1a_sf0.5_nc2.1_n20_m15_03.dzn;1;41;2;0.12
53;inst_set1a_sf0.5_nc2.1_n20_m15_04.dzn;1;42;1;0.08
54;inst_set1a_sf0.5_nc2.1_n20_m15_05.dzn;1;34;2;0.12
55;inst_set1a_sf0.75_nc1.5_n20_m10_00.dzn;1;88;1;36.93
56;inst_set1a_sf0.75_nc1.5_n20_m10_01.dzn;1;108;1;50.24
57;inst_set1a_sf0.75_nc1.5_n20_m10_02.dzn;1;73;1;4.95
58;inst_set1a_sf0.75_nc1.5_n20_m10_03.dzn;1;100;3;1406.04
59;inst_set1a_sf0.75_nc1.5_n20_m10_04.dzn;1;87;1;873.75
60;inst_set1a_sf0.75_nc1.5_n20_m10_05.dzn;1;104;1;2038.54
61;inst_set1a_sf0.75_nc1.5_n20_m20_00.dzn;1;46;2;0.14
62;inst_set1a_sf0.75_nc1.5_n20_m20_01.dzn;1;38;1;0.14
63;inst_set1a_sf0.75_nc1.5_n20_m20_02.dzn;1;39;1;0.09
64;inst_set1a_sf0.75_nc1.5_n20_m20_03.dzn;1;51;2;0.2
65;inst_set1a_sf0.75_nc1.5_n20_m20_04.dzn;1;37;2;0.16
66;inst_set1a_sf0.75_nc1.5_n20_m20_05.dzn;1;41;1;0.1
67;inst_set1a_sf0.75_nc1.5_n20_m25_00.dzn;1;48;1;0.11
68;inst_set1a_sf0.75_nc1.5_n20_m25_01.dzn;1;38;1;0.09
69;inst_set1a_sf0.75_nc1.5_n20_m25_02.dzn;1;56;1;0.11
70;inst_set1a_sf0.75_nc1.5_n20_m25_03.dzn;1;50;2;0.23
71;inst_set1a_sf0.75_nc1.5_n20_m25_04.dzn;1;40;2;0.17
72;inst_set1a_sf0.75_nc1.5_n20_m25_05.dzn;1;41;1;0.1
73;inst_set1a_sf0.75_nc1.8_n20_m10_00.dzn;0;N/A;3;3000.0
74;inst_set1a_sf0.75_nc1.8_n20_m10_01.dzn;1;90;1;18.21
75;inst_set1a_sf0.75_nc1.8_n20_m10_02.dzn;1;85;2;5.71
76;inst_set1a_sf0.75_nc1.8_n20_m10_03.dzn;1;99;1;28.16
77;inst_set1a_sf0.75_nc1.8_n20_m10_04.dzn;1;95;2;34.26
78;inst_set1a_sf0.75_nc1.8_n20_m10_05.dzn;1;85;1;6.74
79;inst_set1a_sf0.75_nc1.8_n20_m20_00.dzn;1;49;2;0.17
80;inst_set1a_sf0.75_nc1.8_n20_m20_01.dzn;1;42;2;0.24
81;inst_set1a_sf0.75_nc1.8_n20_m20_02.dzn;1;70;1;0.92
82;inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn;1;45;1;0.1
83;inst_set1a_sf0.75_nc1.8_n20_m20_04.dzn;1;49;1;0.09
84;inst_set1a_sf0.75_nc1.8_n20_m20_05.dzn;1;52;1;0.1
85;inst_set1a_sf0.75_nc1.8_n20_m25_00.dzn;1;34;1;0.09
86;inst_set1a_sf0.75_nc1.8_n20_m25_01.dzn;1;31;1;0.09
87;inst_set1a_sf0.75_nc1.8_n20_m25_02.dzn;1;43;1;0.11
88;inst_set1a_sf0.75_nc1.8_n20_m25_03.dzn;1;55;1;0.11
89;inst_set1a_sf0.75_nc1.8_n20_m25_04.dzn;1;49;1;0.15
90;inst_set1a_sf0.75_nc1.8_n20_m25_05.dzn;1;56;2;0.19
91;inst_set1a_sf0.75_nc2.1_n20_m10_00.dzn;1;113;2;3.89
92;inst_set1a_sf0.75_nc2.1_n20_m10_01.dzn;1;100;2;25.31
93;inst_set1a_sf0.75_nc2.1_n20_m10_02.dzn;1;93;2;298.48
94;inst_set1a_sf0.75_nc2.1_n20_m10_03.dzn;1;93;1;57.31
95;inst_set1a_sf0.75_nc2.1_n20_m10_04.dzn;1;103;2;496.69
96;inst_set1a_sf0.75_nc2.1_n20_m10_05.dzn;1;109;1;41.93
97;inst_set1a_sf0.75_nc2.1_n20_m20_00.dzn;1;40;1;0.1
98;inst_set1a_sf0.75_nc2.1_n20_m20_01.dzn;1;43;1;0.1
99;inst_set1a_sf0.75_nc2.1_n20_m20_02.dzn;1;47;2;0.15
100;inst_set1a_sf0.75_nc2.1_n20_m20_03.dzn;1;38;1;0.09
101;inst_set1a_sf0.75_nc2.1_n20_m20_04.dzn;1;50;1;0.1
102;inst_set1a_sf0.75_nc2.1_n20_m20_05.dzn;1;36;1;0.09
103;inst_set1a_sf0.75_nc2.1_n20_m25_00.dzn;1;47;1;0.11
104;inst_set1a_sf0.75_nc2.1_n20_m25_01.dzn;1;33;1;0.1
105;inst_set1a_sf0.75_nc2.1_n20_m25_02.dzn;1;43;1;0.11
106;inst_set1a_sf0.75_nc2.1_n20_m25_03.dzn;1;36;1;0.1
107;inst_set1a_sf0.75_nc2.1_n20_m25_04.dzn;1;52;1;0.11
108;inst_set1a_sf0.75_nc2.1_n20_m25_05.dzn;1;30;1;0.09
109;inst_set1a_sf0_nc1.5_n20_m10_00.dzn;1;85;3;42.03
110;inst_set1a_sf0_nc1.5_n20_m10_01.dzn;1;114;2;125.98
111;inst_set1a_sf0_nc1.5_n20_m10_02.dzn;1;84;2;200.72
112;inst_set1a_sf0_nc1.5_n20_m10_03.dzn;1;104;1;724.52
113;inst_set1a_sf0_nc1.5_n20_m10_04.dzn;1;94;4;80.37
114;inst_set1a_sf0_nc1.5_n20_m10_05.dzn;0;N/A;1;3000.0
115;inst_set1a_sf0_nc1.5_n20_m20_00.dzn;1;50;2;0.23
116;inst_set1a_sf0_nc1.5_n20_m20_01.dzn;1;63;1;0.1
117;inst_set1a_sf0_nc1.5_n20_m20_02.dzn;1;36;1;0.09
118;inst_set1a_sf0_nc1.5_n20_m20_03.dzn;1;62;1;0.11
119;inst_set1a_sf0_nc1.5_n20_m20_04.dzn;1;32;2;0.21
120;inst_set1a_sf0_nc1.5_n20_m20_05.dzn;1;42;2;0.22
