instNum;Instance;BD_Optimal;BD_Makespan;BD_Iters;BD_Runtime (s)
1;inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn;1;61;2;0.6
2;inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn;1;66;3;0.3
3;inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn;1;54;4;2.99
4;inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn;1;58;1;0.22
5;inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn;1;52;5;2.87
6;inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn;1;47;5;3.92
7;inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn;1;48;1;0.13
8;inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn;1;39;4;0.47
9;inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn;1;49;3;0.33
10;inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn;1;53;3;0.33
11;inst_set1a_sf0.5_nc1.5_n20_m13_04.dzn;1;49;2;0.24
12;inst_set1a_sf0.5_nc1.5_n20_m13_05.dzn;1;40;1;0.12
13;inst_set1a_sf0.5_nc1.5_n20_m15_00.dzn;1;46;2;0.27
14;inst_set1a_sf0.5_nc1.5_n20_m15_01.dzn;1;40;3;0.3
15;inst_set1a_sf0.5_nc1.5_n20_m15_02.dzn;1;40;2;0.24
16;inst_set1a_sf0.5_nc1.5_n20_m15_03.dzn;1;38;1;0.12
17;inst_set1a_sf0.5_nc1.5_n20_m15_04.dzn;1;50;1;0.13
18;inst_set1a_sf0.5_nc1.5_n20_m15_05.dzn;1;59;2;0.21
19;inst_set1a_sf0.5_nc1.8_n20_m10_00.dzn;1;54;2;0.95
20;inst_set1a_sf0.5_nc1.8_n20_m10_01.dzn;1;72;3;4.67
21;inst_set1a_sf0.5_nc1.8_n20_m10_02.dzn;1;51;2;1.73
22;inst_set1a_sf0.5_nc1.8_n20_m10_03.dzn;1;46;3;0.42
23;inst_set1a_sf0.5_nc1.8_n20_m10_04.dzn;1;59;3;1.49
24;inst_set1a_sf0.5_nc1.8_n20_m10_05.dzn;1;60;2;0.37
25;inst_set1a_sf0.5_nc1.8_n20_m13_00.dzn;1;48;3;0.97
26;inst_set1a_sf0.5_nc1.8_n20_m13_01.dzn;1;42;2;0.25
27;inst_set1a_sf0.5_nc1.8_n20_m13_02.dzn;1;48;1;0.1
28;inst_set1a_sf0.5_nc1.8_n20_m13_03.dzn;1;39;2;0.23
29;inst_set1a_sf0.5_nc1.8_n20_m13_04.dzn;1;37;3;0.42
30;inst_set1a_sf0.5_nc1.8_n20_m13_05.dzn;1;45;3;0.6
31;inst_set1a_sf0.5_nc1.8_n20_m15_00.dzn;1;37;2;0.21
32;inst_set1a_sf0.5_nc1.8_n20_m15_01.dzn;1;44;1;0.12
33;inst_set1a_sf0.5_nc1.8_n20_m15_02.dzn;1;40;2;0.21
34;inst_set1a_sf0.5_nc1.8_n20_m15_03.dzn;1;44;2;0.25
35;inst_set1a_sf0.5_nc1.8_n20_m15_04.dzn;1;38;2;0.25
36;inst_set1a_sf0.5_nc1.8_n20_m15_05.dzn;1;45;2;0.23
37;inst_set1a_sf0.5_nc2.1_n20_m10_00.dzn;1;61;2;0.75
38;inst_set1a_sf0.5_nc2.1_n20_m10_01.dzn;1;85;3;11.17
39;inst_set1a_sf0.5_nc2.1_n20_m10_02.dzn;1;59;4;0.51
40;inst_set1a_sf0.5_nc2.1_n20_m10_03.dzn;1;65;2;1.1
41;inst_set1a_sf0.5_nc2.1_n20_m10_04.dzn;1;87;2;1.15
42;inst_set1a_sf0.5_nc2.1_n20_m10_05.dzn;1;45;2;0.18
43;inst_set1a_sf0.5_nc2.1_n20_m13_00.dzn;1;54;2;0.23
44;inst_set1a_sf0.5_nc2.1_n20_m13_01.dzn;1;50;1;0.38
45;inst_set1a_sf0.5_nc2.1_n20_m13_02.dzn;1;52;4;0.43
46;inst_set1a_sf0.5_nc2.1_n20_m13_03.dzn;1;53;3;0.31
47;inst_set1a_sf0.5_nc2.1_n20_m13_04.dzn;1;40;2;0.22
48;inst_set1a_sf0.5_nc2.1_n20_m13_05.dzn;1;51;3;0.32
49;inst_set1a_sf0.5_nc2.1_n20_m15_00.dzn;1;56;3;0.38
50;inst_set1a_sf0.5_nc2.1_n20_m15_01.dzn;1;36;3;0.3
51;inst_set1a_sf0.5_nc2.1_n20_m15_02.dzn;1;56;2;0.19
52;inst_set1a_sf0.5_nc2.1_n20_m15_03.dzn;1;41;2;0.22
53;inst_set1a_sf0.5_nc2.1_n20_m15_04.dzn;1;42;1;0.11
54;inst_set1a_sf0.5_nc2.1_n20_m15_05.dzn;1;34;2;0.18
55;inst_set1a_sf0.75_nc1.5_n20_m10_00.dzn;1;88;1;41.91
56;inst_set1a_sf0.75_nc1.5_n20_m10_01.dzn;1;108;1;62.82
57;inst_set1a_sf0.75_nc1.5_n20_m10_02.dzn;1;73;1;6.45
58;inst_set1a_sf0.75_nc1.5_n20_m10_03.dzn;0;N/A;3;1000.0
59;inst_set1a_sf0.75_nc1.5_n20_m10_04.dzn;1;87;1;853.8
60;inst_set1a_sf0.75_nc1.5_n20_m10_05.dzn;0;N/A;1;1000.0
61;inst_set1a_sf0.75_nc1.5_n20_m20_00.dzn;1;46;2;0.14
62;inst_set1a_sf0.75_nc1.5_n20_m20_01.dzn;1;38;1;0.09
63;inst_set1a_sf0.75_nc1.5_n20_m20_02.dzn;1;39;1;0.09
64;inst_set1a_sf0.75_nc1.5_n20_m20_03.dzn;1;51;2;0.2
65;inst_set1a_sf0.75_nc1.5_n20_m20_04.dzn;1;37;2;0.17
66;inst_set1a_sf0.75_nc1.5_n20_m20_05.dzn;1;41;1;0.1
67;inst_set1a_sf0.75_nc1.5_n20_m25_00.dzn;1;48;1;0.11
68;inst_set1a_sf0.75_nc1.5_n20_m25_01.dzn;1;38;1;0.1
69;inst_set1a_sf0.75_nc1.5_n20_m25_02.dzn;1;56;1;0.11
70;inst_set1a_sf0.75_nc1.5_n20_m25_03.dzn;1;50;2;0.22
71;inst_set1a_sf0.75_nc1.5_n20_m25_04.dzn;1;40;2;0.17
72;inst_set1a_sf0.75_nc1.5_n20_m25_05.dzn;1;41;1;0.1
73;inst_set1a_sf0.75_nc1.8_n20_m10_00.dzn;0;N/A;3;1000.0
74;inst_set1a_sf0.75_nc1.8_n20_m10_01.dzn;1;90;1;17.76
75;inst_set1a_sf0.75_nc1.8_n20_m10_02.dzn;1;85;2;5.8
76;inst_set1a_sf0.75_nc1.8_n20_m10_03.dzn;1;99;1;27.92
77;inst_set1a_sf0.75_nc1.8_n20_m10_04.dzn;1;95;2;34.11
78;inst_set1a_sf0.75_nc1.8_n20_m10_05.dzn;1;85;1;6.96
79;inst_set1a_sf0.75_nc1.8_n20_m20_00.dzn;1;49;2;0.17
80;inst_set1a_sf0.75_nc1.8_n20_m20_01.dzn;1;42;2;0.26
81;inst_set1a_sf0.75_nc1.8_n20_m20_02.dzn;1;70;1;0.92
82;inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn;1;45;1;0.1
83;inst_set1a_sf0.75_nc1.8_n20_m20_04.dzn;1;49;1;0.1
84;inst_set1a_sf0.75_nc1.8_n20_m20_05.dzn;1;52;1;0.1
85;inst_set1a_sf0.75_nc1.8_n20_m25_00.dzn;1;34;1;0.1
86;inst_set1a_sf0.75_nc1.8_n20_m25_01.dzn;1;31;1;0.09
87;inst_set1a_sf0.75_nc1.8_n20_m25_02.dzn;1;43;1;0.11
88;inst_set1a_sf0.75_nc1.8_n20_m25_03.dzn;1;55;1;0.12
89;inst_set1a_sf0.75_nc1.8_n20_m25_04.dzn;1;49;1;0.17
90;inst_set1a_sf0.75_nc1.8_n20_m25_05.dzn;1;56;2;0.19
91;inst_set1a_sf0.75_nc2.1_n20_m10_00.dzn;1;113;2;3.94
92;inst_set1a_sf0.75_nc2.1_n20_m10_01.dzn;1;100;2;25.18
93;inst_set1a_sf0.75_nc2.1_n20_m10_02.dzn;1;93;2;295.41
94;inst_set1a_sf0.75_nc2.1_n20_m10_03.dzn;1;93;1;54.98
95;inst_set1a_sf0.75_nc2.1_n20_m10_04.dzn;1;103;2;493.39
96;inst_set1a_sf0.75_nc2.1_n20_m10_05.dzn;1;109;1;44.51
97;inst_set1a_sf0.75_nc2.1_n20_m20_00.dzn;1;40;1;0.09
98;inst_set1a_sf0.75_nc2.1_n20_m20_01.dzn;1;43;1;0.11
99;inst_set1a_sf0.75_nc2.1_n20_m20_02.dzn;1;47;2;0.15
100;inst_set1a_sf0.75_nc2.1_n20_m20_03.dzn;1;38;1;0.09
101;inst_set1a_sf0.75_nc2.1_n20_m20_04.dzn;1;50;1;0.1
102;inst_set1a_sf0.75_nc2.1_n20_m20_05.dzn;1;36;1;0.09
103;inst_set1a_sf0.75_nc2.1_n20_m25_00.dzn;1;47;1;0.12
104;inst_set1a_sf0.75_nc2.1_n20_m25_01.dzn;1;33;1;0.1
105;inst_set1a_sf0.75_nc2.1_n20_m25_02.dzn;1;43;1;0.11
106;inst_set1a_sf0.75_nc2.1_n20_m25_03.dzn;1;36;1;0.1
107;inst_set1a_sf0.75_nc2.1_n20_m25_04.dzn;1;52;1;0.11
108;inst_set1a_sf0.75_nc2.1_n20_m25_05.dzn;1;30;1;0.15
109;inst_set1a_sf0_nc1.5_n20_m10_00.dzn;1;85;3;42.77
110;inst_set1a_sf0_nc1.5_n20_m10_01.dzn;1;114;2;126.15
111;inst_set1a_sf0_nc1.5_n20_m10_02.dzn;1;84;2;201.33
112;inst_set1a_sf0_nc1.5_n20_m10_03.dzn;1;104;1;727.71
113;inst_set1a_sf0_nc1.5_n20_m10_04.dzn;1;94;4;80.31
114;inst_set1a_sf0_nc1.5_n20_m10_05.dzn;0;N/A;1;1000.0
115;inst_set1a_sf0_nc1.5_n20_m20_00.dzn;1;50;2;0.24
116;inst_set1a_sf0_nc1.5_n20_m20_01.dzn;1;63;1;0.1
117;inst_set1a_sf0_nc1.5_n20_m20_02.dzn;1;36;1;0.11
118;inst_set1a_sf0_nc1.5_n20_m20_03.dzn;1;62;1;0.11
119;inst_set1a_sf0_nc1.5_n20_m20_04.dzn;1;32;2;0.28
120;inst_set1a_sf0_nc1.5_n20_m20_05.dzn;1;42;2;0.17
121;inst_set1a_sf0_nc1.5_n20_m25_00.dzn;1;41;1;0.1
122;inst_set1a_sf0_nc1.5_n20_m25_01.dzn;1;56;1;0.13
123;inst_set1a_sf0_nc1.5_n20_m25_02.dzn;1;32;2;0.13
124;inst_set1a_sf0_nc1.5_n20_m25_03.dzn;1;42;1;0.1
125;inst_set1a_sf0_nc1.5_n20_m25_04.dzn;1;40;1;0.1
126;inst_set1a_sf0_nc1.5_n20_m25_05.dzn;1;52;1;0.1
127;inst_set1a_sf0_nc1.8_n20_m10_00.dzn;1;112;3;62.88
128;inst_set1a_sf0_nc1.8_n20_m10_01.dzn;1;96;1;4.04
129;inst_set1a_sf0_nc1.8_n20_m10_02.dzn;1;92;3;95.85
130;inst_set1a_sf0_nc1.8_n20_m10_03.dzn;1;99;2;48.03
131;inst_set1a_sf0_nc1.8_n20_m10_04.dzn;1;73;2;171.12
132;inst_set1a_sf0_nc1.8_n20_m10_05.dzn;1;125;2;54.29
133;inst_set1a_sf0_nc1.8_n20_m20_00.dzn;1;42;1;0.1
134;inst_set1a_sf0_nc1.8_n20_m20_01.dzn;1;45;1;0.11
135;inst_set1a_sf0_nc1.8_n20_m20_02.dzn;1;37;2;0.18
136;inst_set1a_sf0_nc1.8_n20_m20_03.dzn;1;50;1;0.09
137;inst_set1a_sf0_nc1.8_n20_m20_04.dzn;1;48;1;0.1
138;inst_set1a_sf0_nc1.8_n20_m20_05.dzn;1;44;1;0.11
139;inst_set1a_sf0_nc1.8_n20_m25_00.dzn;1;39;1;0.11
140;inst_set1a_sf0_nc1.8_n20_m25_01.dzn;1;43;1;0.12
141;inst_set1a_sf0_nc1.8_n20_m25_02.dzn;1;37;1;0.1
142;inst_set1a_sf0_nc1.8_n20_m25_03.dzn;1;48;1;0.11
143;inst_set1a_sf0_nc1.8_n20_m25_04.dzn;1;41;1;0.12
144;inst_set1a_sf0_nc1.8_n20_m25_05.dzn;1;47;1;0.12
145;inst_set1a_sf0_nc2.1_n20_m10_00.dzn;1;100;1;69.71
146;inst_set1a_sf0_nc2.1_n20_m10_01.dzn;1;75;3;53.19
147;inst_set1a_sf0_nc2.1_n20_m10_02.dzn;1;97;2;11.51
