instNum;Instance;CP_Optimal;CP_LB;CP_Makespan;CP_Gap (%);CP_Runtime (s)
1;inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn;1;61;61;0.0;11.48
2;inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn;1;66;66;0.0;7.62
3;inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn;1;55;55;0.0;8.33
4;inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn;1;58;58;0.0;1.99
5;inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn;1;52;52;0.0;11.72
6;inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn;0;43;47;8.51;30.04
7;inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn;1;48;48;0.0;0.14
8;inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn;1;40;40;0.0;8.44
9;inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn;1;49;49;0.0;0.71
10;inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn;1;53;53;0.0;5.05
11;inst_set1a_sf0.5_nc1.5_n20_m13_04.dzn;1;49;49;0.0;1.37
12;inst_set1a_sf0.5_nc1.5_n20_m13_05.dzn;1;40;40;0.0;2.63
13;inst_set1a_sf0.5_nc1.5_n20_m15_00.dzn;1;46;46;0.0;0.11
14;inst_set1a_sf0.5_nc1.5_n20_m15_01.dzn;1;40;40;0.0;0.16
15;inst_set1a_sf0.5_nc1.5_n20_m15_02.dzn;1;40;40;0.0;0.1
