instNum;Instance;CP_Optimal;CP_LB;CP_Makespan;CP_Gap (%);CP_Runtime (s)
1;inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn;1;61;61;0.0;149.64
2;inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn;1;66;66;0.0;227.64
3;inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn;1;54;54;0.0;26.29
4;inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn;1;58;58;0.0;11.11
5;inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn;1;52;52;0.0;66.73
6;inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn;1;47;47;0.0;203.6
7;inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn;1;48;48;0.0;1.37
8;inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn;0;39;40;2.5;3000.03
9;inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn;0;48;49;2.04;3000.03
10;inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn;1;53;53;0.0;498.29
11;inst_set1a_sf0.5_nc1.5_n20_m13_04.dzn;1;49;49;0.0;6.72
12;inst_set1a_sf0.5_nc1.5_n20_m13_05.dzn;1;40;40;0.0;3.05
13;inst_set1a_sf0.5_nc1.5_n20_m15_00.dzn;1;46;46;0.0;1.13
14;inst_set1a_sf0.5_nc1.5_n20_m15_01.dzn;1;40;40;0.0;2.38
15;inst_set1a_sf0.5_nc1.5_n20_m15_02.dzn;1;40;40;0.0;0.94
16;inst_set1a_sf0.5_nc1.5_n20_m15_03.dzn;1;38;38;0.0;0.92
17;inst_set1a_sf0.5_nc1.5_n20_m15_04.dzn;1;50;50;0.0;3.73
18;inst_set1a_sf0.5_nc1.5_n20_m15_05.dzn;1;59;59;0.0;0.76
19;inst_set1a_sf0.5_nc1.8_n20_m10_00.dzn;1;54;54;0.0;3.84
20;inst_set1a_sf0.5_nc1.8_n20_m10_01.dzn;1;72;72;0.0;35.6
21;inst_set1a_sf0.5_nc1.8_n20_m10_02.dzn;1;51;51;0.0;11.46
22;inst_set1a_sf0.5_nc1.8_n20_m10_03.dzn;0;39;46;15.22;3000.03
23;inst_set1a_sf0.5_nc1.8_n20_m10_04.dzn;1;59;59;0.0;7.01
24;inst_set1a_sf0.5_nc1.8_n20_m10_05.dzn;1;60;60;0.0;11.15
25;inst_set1a_sf0.5_nc1.8_n20_m13_00.dzn;1;48;48;0.0;26.91
26;inst_set1a_sf0.5_nc1.8_n20_m13_01.dzn;1;42;42;0.0;15.91
27;inst_set1a_sf0.5_nc1.8_n20_m13_02.dzn;1;48;48;0.0;0.14
28;inst_set1a_sf0.5_nc1.8_n20_m13_03.dzn;1;39;39;0.0;4.51
29;inst_set1a_sf0.5_nc1.8_n20_m13_04.dzn;0;35;37;5.41;3000.05
30;inst_set1a_sf0.5_nc1.8_n20_m13_05.dzn;0;41;45;8.89;3000.04
31;inst_set1a_sf0.5_nc1.8_n20_m15_00.dzn;1;37;37;0.0;0.73
32;inst_set1a_sf0.5_nc1.8_n20_m15_01.dzn;1;44;44;0.0;0.91
33;inst_set1a_sf0.5_nc1.8_n20_m15_02.dzn;1;40;40;0.0;22.16
34;inst_set1a_sf0.5_nc1.8_n20_m15_03.dzn;1;44;44;0.0;1.32
35;inst_set1a_sf0.5_nc1.8_n20_m15_04.dzn;1;38;38;0.0;1727.53
36;inst_set1a_sf0.5_nc1.8_n20_m15_05.dzn;0;42;45;6.67;3000.04
37;inst_set1a_sf0.5_nc2.1_n20_m10_00.dzn;1;61;61;0.0;103.77
38;inst_set1a_sf0.5_nc2.1_n20_m10_01.dzn;0;57;85;32.94;3000.01
39;inst_set1a_sf0.5_nc2.1_n20_m10_02.dzn;0;51;59;13.56;3000.04
40;inst_set1a_sf0.5_nc2.1_n20_m10_03.dzn;1;65;65;0.0;398.76
41;inst_set1a_sf0.5_nc2.1_n20_m10_04.dzn;1;87;87;0.0;5.67
42;inst_set1a_sf0.5_nc2.1_n20_m10_05.dzn;1;45;45;0.0;0.69
43;inst_set1a_sf0.5_nc2.1_n20_m13_00.dzn;0;53;54;1.85;3000.07
44;inst_set1a_sf0.5_nc2.1_n20_m13_01.dzn;1;50;50;0.0;5.45
45;inst_set1a_sf0.5_nc2.1_n20_m13_02.dzn;1;52;52;0.0;108.2
46;inst_set1a_sf0.5_nc2.1_n20_m13_03.dzn;0;52;53;1.89;3000.02
47;inst_set1a_sf0.5_nc2.1_n20_m13_04.dzn;0;39;40;2.5;3000.0
48;inst_set1a_sf0.5_nc2.1_n20_m13_05.dzn;1;51;51;0.0;65.94
49;inst_set1a_sf0.5_nc2.1_n20_m15_00.dzn;1;56;56;0.0;10.5
50;inst_set1a_sf0.5_nc2.1_n20_m15_01.dzn;1;36;36;0.0;97.23
51;inst_set1a_sf0.5_nc2.1_n20_m15_02.dzn;1;56;56;0.0;2.14
52;inst_set1a_sf0.5_nc2.1_n20_m15_03.dzn;1;41;41;0.0;0.15
53;inst_set1a_sf0.5_nc2.1_n20_m15_04.dzn;1;42;42;0.0;0.82
54;inst_set1a_sf0.5_nc2.1_n20_m15_05.dzn;1;34;34;0.0;0.82
55;inst_set1a_sf0.75_nc1.5_n20_m10_00.dzn;1;88;88;0.0;284.77
56;inst_set1a_sf0.75_nc1.5_n20_m10_01.dzn;1;108;108;0.0;265.14
57;inst_set1a_sf0.75_nc1.5_n20_m10_02.dzn;1;73;73;0.0;61.01
58;inst_set1a_sf0.75_nc1.5_n20_m10_03.dzn;0;67;100;33.0;3000.03
59;inst_set1a_sf0.75_nc1.5_n20_m10_04.dzn;0;58;87;33.33;3000.03
60;inst_set1a_sf0.75_nc1.5_n20_m10_05.dzn;1;104;104;0.0;2538.99
61;inst_set1a_sf0.75_nc1.5_n20_m20_00.dzn;0;44;46;4.35;3000.09
62;inst_set1a_sf0.75_nc1.5_n20_m20_01.dzn;1;38;38;0.0;2.19
63;inst_set1a_sf0.75_nc1.5_n20_m20_02.dzn;1;39;39;0.0;322.62
64;inst_set1a_sf0.75_nc1.5_n20_m20_03.dzn;1;51;51;0.0;155.01
65;inst_set1a_sf0.75_nc1.5_n20_m20_04.dzn;1;37;37;0.0;16.31
66;inst_set1a_sf0.75_nc1.5_n20_m20_05.dzn;1;41;41;0.0;16.73
67;inst_set1a_sf0.75_nc1.5_n20_m25_00.dzn;1;48;48;0.0;20.78
68;inst_set1a_sf0.75_nc1.5_n20_m25_01.dzn;1;38;38;0.0;43.24
69;inst_set1a_sf0.75_nc1.5_n20_m25_02.dzn;1;56;56;0.0;1.8
70;inst_set1a_sf0.75_nc1.5_n20_m25_03.dzn;1;50;50;0.0;3.71
71;inst_set1a_sf0.75_nc1.5_n20_m25_04.dzn;1;40;40;0.0;1.63
72;inst_set1a_sf0.75_nc1.5_n20_m25_05.dzn;1;41;41;0.0;1.47
73;inst_set1a_sf0.75_nc1.8_n20_m10_00.dzn;0;75;104;27.88;3000.05
74;inst_set1a_sf0.75_nc1.8_n20_m10_01.dzn;1;90;90;0.0;385.48
75;inst_set1a_sf0.75_nc1.8_n20_m10_02.dzn;1;85;85;0.0;1770.38
76;inst_set1a_sf0.75_nc1.8_n20_m10_03.dzn;1;99;99;0.0;236.6
77;inst_set1a_sf0.75_nc1.8_n20_m10_04.dzn;1;95;95;0.0;226.53
78;inst_set1a_sf0.75_nc1.8_n20_m10_05.dzn;1;85;85;0.0;92.79
79;inst_set1a_sf0.75_nc1.8_n20_m20_00.dzn;1;49;49;0.0;2.44
80;inst_set1a_sf0.75_nc1.8_n20_m20_01.dzn;1;42;42;0.0;20.36
81;inst_set1a_sf0.75_nc1.8_n20_m20_02.dzn;1;70;70;0.0;45.02
82;inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn;1;45;45;0.0;1.45
83;inst_set1a_sf0.75_nc1.8_n20_m20_04.dzn;1;49;49;0.0;1.57
84;inst_set1a_sf0.75_nc1.8_n20_m20_05.dzn;1;52;52;0.0;3.0
85;inst_set1a_sf0.75_nc1.8_n20_m25_00.dzn;1;34;34;0.0;1.29
86;inst_set1a_sf0.75_nc1.8_n20_m25_01.dzn;1;31;31;0.0;1.16
87;inst_set1a_sf0.75_nc1.8_n20_m25_02.dzn;1;43;43;0.0;2.25
88;inst_set1a_sf0.75_nc1.8_n20_m25_03.dzn;1;55;55;0.0;1.1
89;inst_set1a_sf0.75_nc1.8_n20_m25_04.dzn;1;49;49;0.0;1.09
90;inst_set1a_sf0.75_nc1.8_n20_m25_05.dzn;1;56;56;0.0;1.23
91;inst_set1a_sf0.75_nc2.1_n20_m10_00.dzn;1;113;113;0.0;258.64
92;inst_set1a_sf0.75_nc2.1_n20_m10_01.dzn;1;100;100;0.0;91.58
93;inst_set1a_sf0.75_nc2.1_n20_m10_02.dzn;0;67;93;27.96;3000.03
94;inst_set1a_sf0.75_nc2.1_n20_m10_03.dzn;1;93;93;0.0;662.56
95;inst_set1a_sf0.75_nc2.1_n20_m10_04.dzn;1;103;103;0.0;1231.54
96;inst_set1a_sf0.75_nc2.1_n20_m10_05.dzn;1;109;109;0.0;347.14
97;inst_set1a_sf0.75_nc2.1_n20_m20_00.dzn;0;40;41;2.44;3000.09
