instNum;Instance;BD_Optimal;BD_Makespan;BD_Iters;BD_Runtime (s)
1;inst_set1a_sf0.5_nc1.5_n20_m15_03.dzn;1;38;1;0.09
2;inst_set1a_sf0.5_nc1.5_n20_m15_04.dzn;1;50;1;0.09
3;inst_set1a_sf0.5_nc1.5_n20_m15_05.dzn;1;59;2;0.16
4;inst_set1a_sf0.5_nc1.8_n20_m10_00.dzn;1;54;3;1.33
5;inst_set1a_sf0.5_nc1.8_n20_m10_01.dzn;1;72;5;5.5
6;inst_set1a_sf0.5_nc1.8_n20_m10_02.dzn;1;51;6;3.99
7;inst_set1a_sf0.5_nc1.8_n20_m10_03.dzn;1;46;8;1.08
8;inst_set1a_sf0.5_nc1.8_n20_m10_04.dzn;1;59;3;1.21
9;inst_set1a_sf0.5_nc1.8_n20_m10_05.dzn;1;60;2;0.26
10;inst_set1a_sf0.5_nc1.8_n20_m13_00.dzn;1;48;4;1.1
11;inst_set1a_sf0.5_nc1.8_n20_m13_01.dzn;1;42;7;0.47
12;inst_set1a_sf0.5_nc1.8_n20_m13_02.dzn;1;48;1;0.08
13;inst_set1a_sf0.5_nc1.8_n20_m13_03.dzn;1;39;2;0.12
14;inst_set1a_sf0.5_nc1.8_n20_m13_04.dzn;1;37;4;0.34
15;inst_set1a_sf0.5_nc1.8_n20_m13_05.dzn;1;45;9;0.78
16;inst_set1a_sf0.5_nc1.8_n20_m15_00.dzn;1;37;2;0.12
17;inst_set1a_sf0.5_nc1.8_n20_m15_01.dzn;1;44;1;0.08
18;inst_set1a_sf0.5_nc1.8_n20_m15_02.dzn;1;40;2;0.14
19;inst_set1a_sf0.5_nc1.8_n20_m15_03.dzn;1;44;2;0.14
20;inst_set1a_sf0.5_nc1.8_n20_m15_04.dzn;1;38;3;0.19
21;inst_set1a_sf0.5_nc1.8_n20_m15_05.dzn;1;45;14;1.02
22;inst_set1a_sf0.5_nc2.1_n20_m10_00.dzn;1;61;6;1.21
23;inst_set1a_sf0.5_nc2.1_n20_m10_01.dzn;1;85;22;35.44
24;inst_set1a_sf0.5_nc2.1_n20_m10_02.dzn;1;59;9;0.59
25;inst_set1a_sf0.5_nc2.1_n20_m10_03.dzn;1;65;6;1.96
26;inst_set1a_sf0.5_nc2.1_n20_m10_04.dzn;1;87;2;0.91
27;inst_set1a_sf0.5_nc2.1_n20_m10_05.dzn;1;45;2;0.11
28;inst_set1a_sf0.5_nc2.1_n20_m13_00.dzn;1;54;3;0.18
29;inst_set1a_sf0.5_nc2.1_n20_m13_01.dzn;1;50;1;0.25
30;inst_set1a_sf0.5_nc2.1_n20_m13_02.dzn;1;52;6;0.36
31;inst_set1a_sf0.5_nc2.1_n20_m13_03.dzn;1;53;6;0.39
32;inst_set1a_sf0.5_nc2.1_n20_m13_04.dzn;1;40;2;0.13
33;inst_set1a_sf0.5_nc2.1_n20_m13_05.dzn;1;51;6;0.38
34;inst_set1a_sf0.5_nc2.1_n20_m15_00.dzn;1;56;3;0.21
35;inst_set1a_sf0.5_nc2.1_n20_m15_01.dzn;1;36;6;0.39
36;inst_set1a_sf0.5_nc2.1_n20_m15_02.dzn;1;56;2;0.13
37;inst_set1a_sf0.5_nc2.1_n20_m15_03.dzn;1;41;3;0.16
38;inst_set1a_sf0.5_nc2.1_n20_m15_04.dzn;1;42;1;0.07
39;inst_set1a_sf0.5_nc2.1_n20_m15_05.dzn;1;34;4;0.25
40;inst_set1a_sf0.75_nc1.5_n20_m10_00.dzn;1;88;1;35.12
41;inst_set1a_sf0.75_nc1.5_n20_m10_01.dzn;1;108;1;51.87
42;inst_set1a_sf0.75_nc1.5_n20_m10_02.dzn;1;73;1;4.87
43;inst_set1a_sf0.75_nc1.5_n20_m10_03.dzn;1;100;4;1179.41
44;inst_set1a_sf0.75_nc1.5_n20_m10_04.dzn;1;87;1;856.1
45;inst_set1a_sf0.75_nc1.5_n20_m10_05.dzn;1;104;1;2045.6
46;inst_set1a_sf0.75_nc1.5_n20_m20_00.dzn;1;46;3;0.2
47;inst_set1a_sf0.75_nc1.5_n20_m20_01.dzn;1;38;1;0.09
48;inst_set1a_sf0.75_nc1.5_n20_m20_02.dzn;1;39;1;0.1
49;inst_set1a_sf0.75_nc1.5_n20_m20_03.dzn;1;51;3;0.29
50;inst_set1a_sf0.75_nc1.5_n20_m20_04.dzn;1;37;2;0.17
51;inst_set1a_sf0.75_nc1.5_n20_m20_05.dzn;1;41;1;0.1
52;inst_set1a_sf0.75_nc1.5_n20_m25_00.dzn;1;48;1;0.12
53;inst_set1a_sf0.75_nc1.5_n20_m25_01.dzn;1;38;1;0.11
54;inst_set1a_sf0.75_nc1.5_n20_m25_02.dzn;1;56;1;0.12
55;inst_set1a_sf0.75_nc1.5_n20_m25_03.dzn;1;50;2;0.19
56;inst_set1a_sf0.75_nc1.5_n20_m25_04.dzn;1;40;2;0.18
57;inst_set1a_sf0.75_nc1.5_n20_m25_05.dzn;1;41;1;0.11
58;inst_set1a_sf0.75_nc1.8_n20_m10_00.dzn;0;N/A;9;3000.0
59;inst_set1a_sf0.75_nc1.8_n20_m10_01.dzn;1;90;1;17.86
60;inst_set1a_sf0.75_nc1.8_n20_m10_02.dzn;1;85;2;5.55
61;inst_set1a_sf0.75_nc1.8_n20_m10_03.dzn;1;99;1;26.8
62;inst_set1a_sf0.75_nc1.8_n20_m10_04.dzn;1;95;2;31.87
63;inst_set1a_sf0.75_nc1.8_n20_m10_05.dzn;1;85;1;6.66
64;inst_set1a_sf0.75_nc1.8_n20_m20_00.dzn;1;49;2;0.16
65;inst_set1a_sf0.75_nc1.8_n20_m20_01.dzn;1;42;3;0.25
66;inst_set1a_sf0.75_nc1.8_n20_m20_02.dzn;1;70;1;0.94
67;inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn;1;45;1;0.11
68;inst_set1a_sf0.75_nc1.8_n20_m20_04.dzn;1;49;1;0.09
69;inst_set1a_sf0.75_nc1.8_n20_m20_05.dzn;1;52;1;0.11
70;inst_set1a_sf0.75_nc1.8_n20_m25_00.dzn;1;34;1;0.16
71;inst_set1a_sf0.75_nc1.8_n20_m25_01.dzn;1;31;1;0.09
72;inst_set1a_sf0.75_nc1.8_n20_m25_02.dzn;1;43;1;0.11
73;inst_set1a_sf0.75_nc1.8_n20_m25_03.dzn;1;55;1;0.12
74;inst_set1a_sf0.75_nc1.8_n20_m25_04.dzn;1;49;1;0.11
75;inst_set1a_sf0.75_nc1.8_n20_m25_05.dzn;1;56;2;0.19
76;inst_set1a_sf0.75_nc2.1_n20_m10_00.dzn;1;113;2;3.85
77;inst_set1a_sf0.75_nc2.1_n20_m10_01.dzn;1;100;2;23.36
78;inst_set1a_sf0.75_nc2.1_n20_m10_02.dzn;1;93;3;444.9
79;inst_set1a_sf0.75_nc2.1_n20_m10_03.dzn;1;93;1;57.94
80;inst_set1a_sf0.75_nc2.1_n20_m10_04.dzn;1;103;3;657.65
81;inst_set1a_sf0.75_nc2.1_n20_m10_05.dzn;1;109;1;43.94
