instNum,Instance,optimal,LB,makespan,gap (%),runtime
0,inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn,1,61,61,0.0,1007.97
1,inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn,0,64,66,3.03,3000.06
2,inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn,1,54,54,0.0,355.93
3,inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn,1,58,58,0.0,14.69
4,inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn,1,52,52,0.0,879.67
5,inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn,0,41,47,12.77,3000.01
6,inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn,1,48,48,0.0,13.08
7,inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn,0,33,40,17.5,3000.05
8,inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn,1,49,49,0.0,74.41
9,inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn,1,53,53,0.0,2602.41
10,inst_set1a_sf0.5_nc1.5_n20_m13_04.dzn,1,49,49,0.0,15.15
11,inst_set1a_sf0.5_nc1.5_n20_m13_05.dzn,1,40,40,0.0,18.3
12,inst_set1a_sf0.5_nc1.5_n20_m15_00.dzn,1,46,46,0.0,1.08
13,inst_set1a_sf0.5_nc1.5_n20_m15_01.dzn,1,40,40,0.0,107.19
14,inst_set1a_sf0.5_nc1.5_n20_m15_02.dzn,1,40,40,0.0,1.38
