instNum;Instance;BD_Optimal;BD_Makespan;BD_Iters;BD_Runtime (s)
1;inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn;1;61;4;1.11
2;inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn;1;66;5;0.57
3;inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn;1;54;5;2.83
4;inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn;1;58;1;0.17
5;inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn;1;52;7;2.64
6;inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn;1;47;14;6.24
7;inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn;1;48;1;0.09
8;inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn;1;39;18;1.27
9;inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn;1;49;4;0.26
10;inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn;1;53;4;0.29
11;inst_set1a_sf0.5_nc1.5_n20_m13_04.dzn;1;49;5;0.32
12;inst_set1a_sf0.5_nc1.5_n20_m13_05.dzn;1;40;1;0.09
13;inst_set1a_sf0.5_nc1.5_n20_m15_00.dzn;1;46;2;0.18
14;inst_set1a_sf0.5_nc1.5_n20_m15_01.dzn;1;40;3;0.21
15;inst_set1a_sf0.5_nc1.5_n20_m15_02.dzn;1;40;3;0.24
