instNum;Instance;BD_Optimal;BD_Makespan;BD_Iters;BD_Runtime (s)
1;MSLIB_Set1_109.msrcp;1;28;5;0.34
2;MSLIB_Set1_1100.msrcp;1;24;3;1.04
3;MSLIB_Set1_1111.msrcp;1;35;1;129.45
4;MSLIB_Set1_1117.msrcp;1;29;1;0.46
5;MSLIB_Set1_1122.msrcp;1;29;1;0.32
6;MSLIB_Set1_1157.msrcp;1;13;1;0.26
7;MSLIB_Set1_1224.msrcp;1;20;2;0.6
8;MSLIB_Set1_1236.msrcp;1;18;1;0.36
9;MSLIB_Set1_1251.msrcp;1;24;1;0.68
10;MSLIB_Set1_1274.msrcp;1;23;2;0.6
11;MSLIB_Set1_1283.msrcp;1;24;1;0.63
12;MSLIB_Set1_1302.msrcp;1;18;1;0.47
13;MSLIB_Set1_1329.msrcp;1;75;3;5.82
14;MSLIB_Set1_1335.msrcp;0;N/A;6;500.0
15;MSLIB_Set1_1355.msrcp;1;96;1;0.55
16;MSLIB_Set1_1415.msrcp;1;46;1;0.06
17;MSLIB_Set1_1426.msrcp;1;50;2;0.15
18;MSLIB_Set1_1442.msrcp;1;46;1;0.07
19;MSLIB_Set1_1507.msrcp;1;69;1;0.1
20;MSLIB_Set1_1511.msrcp;1;37;1;0.09
21;MSLIB_Set1_1512.msrcp;1;59;1;0.14
22;MSLIB_Set1_1561.msrcp;1;57;1;0.1
23;MSLIB_Set1_1575.msrcp;1;58;1;0.11
24;MSLIB_Set1_162.msrcp;1;26;3;0.16
25;MSLIB_Set1_1620.msrcp;1;50;1;0.2
26;MSLIB_Set1_1621.msrcp;1;63;1;0.11
27;MSLIB_Set1_1625.msrcp;1;71;1;0.1
28;MSLIB_Set1_1653.msrcp;0;N/A;1;500.0
29;MSLIB_Set1_1659.msrcp;0;N/A;2;500.0
30;MSLIB_Set1_1754.msrcp;1;46;2;0.16
31;MSLIB_Set1_1810.msrcp;1;46;1;0.13
32;MSLIB_Set1_1831.msrcp;1;45;1;0.12
33;MSLIB_Set1_1846.msrcp;1;54;1;0.23
34;MSLIB_Set1_1865.msrcp;1;54;1;0.17
35;MSLIB_Set1_1871.msrcp;1;46;1;0.25
36;MSLIB_Set1_1908.msrcp;1;69;1;0.32
37;MSLIB_Set1_1920.msrcp;1;49;1;0.31
38;MSLIB_Set1_1946.msrcp;1;53;1;0.37
39;MSLIB_Set1_1953.msrcp;1;65;1;0.19
40;MSLIB_Set1_197.msrcp;1;22;4;0.28
41;MSLIB_Set1_2042.msrcp;1;59;1;53.07
42;MSLIB_Set1_2068.msrcp;1;48;1;0.18
43;MSLIB_Set1_2129.msrcp;1;65;1;0.36
44;MSLIB_Set1_2212.msrcp;1;42;1;0.38
45;MSLIB_Set1_2224.msrcp;1;64;1;0.34
46;MSLIB_Set1_2229.msrcp;1;34;1;0.28
47;MSLIB_Set1_2238.msrcp;1;52;1;0.46
48;MSLIB_Set1_2257.msrcp;1;36;1;0.25
49;MSLIB_Set1_2286.msrcp;1;51;1;0.35
50;MSLIB_Set1_2290.msrcp;1;49;1;0.36
