instNum;Instance;CP_Optimal;CP_LB;CP_Makespan;CP_Gap (%);CP_Runtime (s)
1;MSLIB_Set1_109.msrcp;1;28;28;0;2.22
2;MSLIB_Set1_1100.msrcp;0;24;26;7.69;500.19
3;MSLIB_Set1_1111.msrcp;0;35;36;2.78;500.16
4;MSLIB_Set1_1117.msrcp;0;N/A;N/A;N/A;500.0
5;MSLIB_Set1_1122.msrcp;0;29;32;9.38;500.2
6;MSLIB_Set1_1157.msrcp;0;13;14;7.14;500.19
7;MSLIB_Set1_1224.msrcp;1;20;20;0;7.92
8;MSLIB_Set1_1236.msrcp;0;N/A;N/A;N/A;500.0
9;MSLIB_Set1_1251.msrcp;1;24;24;0;37.49
10;MSLIB_Set1_1274.msrcp;0;N/A;N/A;N/A;500.0
11;MSLIB_Set1_1283.msrcp;1;24;24;0;9.03
12;MSLIB_Set1_1302.msrcp;1;18;18;0;80.19
13;MSLIB_Set1_1329.msrcp;1;75;75;0;443.01
14;MSLIB_Set1_1335.msrcp;0;49;71;30.99;500.03
15;MSLIB_Set1_1355.msrcp;1;96;96;0;10.25
16;MSLIB_Set1_1415.msrcp;1;46;46;0;0.67
17;MSLIB_Set1_1426.msrcp;1;50;50;0;0.17
18;MSLIB_Set1_1442.msrcp;1;46;46;0;0.7
19;MSLIB_Set1_1507.msrcp;1;69;69;0;0.24
20;MSLIB_Set1_1511.msrcp;1;37;37;0;0.61
21;MSLIB_Set1_1512.msrcp;1;59;59;0;0.23
22;MSLIB_Set1_1561.msrcp;1;57;57;0;0.79
23;MSLIB_Set1_1575.msrcp;1;58;58;0;0.26
24;MSLIB_Set1_162.msrcp;1;26;26;0;0.6
25;MSLIB_Set1_1620.msrcp;1;50;50;0;0.86
26;MSLIB_Set1_1621.msrcp;1;63;63;0;0.9
27;MSLIB_Set1_1625.msrcp;1;71;71;0;0.72
28;MSLIB_Set1_1653.msrcp;0;104;135;22.96;500.04
29;MSLIB_Set1_1659.msrcp;0;77;105;26.67;500.02
30;MSLIB_Set1_1754.msrcp;1;46;46;0;1.06
31;MSLIB_Set1_1810.msrcp;1;46;46;0;4.01
32;MSLIB_Set1_1831.msrcp;1;45;45;0;1.06
33;MSLIB_Set1_1846.msrcp;1;54;54;0;1.78
34;MSLIB_Set1_1865.msrcp;1;54;54;0;1.73
35;MSLIB_Set1_1871.msrcp;1;46;46;0;1.85
36;MSLIB_Set1_1908.msrcp;1;69;69;0;5.47
37;MSLIB_Set1_1920.msrcp;1;49;49;0;1.84
38;MSLIB_Set1_1946.msrcp;1;53;53;0;2.02
39;MSLIB_Set1_1953.msrcp;1;65;65;0;1.53
40;MSLIB_Set1_197.msrcp;1;22;22;0;0.73
41;MSLIB_Set1_2042.msrcp;0;57;60;5.0;500.11
42;MSLIB_Set1_2068.msrcp;1;48;48;0;2.0
43;MSLIB_Set1_2129.msrcp;1;65;65;0;2.85
44;MSLIB_Set1_2212.msrcp;1;42;42;0;4.43
45;MSLIB_Set1_2224.msrcp;1;64;64;0;11.98
46;MSLIB_Set1_2229.msrcp;1;34;34;0;36.08
47;MSLIB_Set1_2238.msrcp;1;52;52;0;4.43
48;MSLIB_Set1_2257.msrcp;1;36;36;0;3.77
49;MSLIB_Set1_2286.msrcp;1;51;51;0;17.31
50;MSLIB_Set1_2290.msrcp;1;49;49;0;5.67
51;MSLIB_Set1_2298.msrcp;1;48;48;0;5.98
52;MSLIB_Set1_2304.msrcp;1;43;43;0;3.85
