instNum;Instance;CP_Optimal;CP_LB;CP_Makespan;CP_Gap (%);CP_Runtime (s)
1;inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn;1;61;61;0;253.37
2;inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn;0;N/A;N/A;N/A;500.0
3;inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn;1;54;54;0;101.45
4;inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn;1;58;58;0;4.37
5;inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn;0;47;52;9.62;500.05
6;inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn;0;42;47;10.64;500.04
7;inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn;1;48;48;0;0.81
8;inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn;0;38;40;5.0;500.03
9;inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn;1;49;49;0;132.61
10;inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn;0;48;53;9.43;500.07
11;inst_set1a_sf0.5_nc1.5_n20_m13_04.dzn;1;49;49;0;2.93
12;inst_set1a_sf0.5_nc1.5_n20_m13_05.dzn;1;40;40;0;1.8
13;inst_set1a_sf0.5_nc1.5_n20_m15_00.dzn;1;46;46;0;6.69
14;inst_set1a_sf0.5_nc1.5_n20_m15_01.dzn;1;40;40;0;100.03
15;inst_set1a_sf0.5_nc1.5_n20_m15_02.dzn;1;40;40;0;1.28
16;inst_set1a_sf0.5_nc1.5_n20_m15_03.dzn;1;38;38;0;0.21
17;inst_set1a_sf0.5_nc1.5_n20_m15_04.dzn;1;50;50;0;0.87
18;inst_set1a_sf0.5_nc1.5_n20_m15_05.dzn;1;59;59;0;0.78
19;inst_set1a_sf0.5_nc1.8_n20_m10_00.dzn;1;54;54;0;2.31
20;inst_set1a_sf0.5_nc1.8_n20_m10_01.dzn;1;72;72;0;33.04
21;inst_set1a_sf0.5_nc1.8_n20_m10_02.dzn;1;51;51;0;22.47
22;inst_set1a_sf0.5_nc1.8_n20_m10_04.dzn;1;59;59;0;37.77
23;inst_set1a_sf0.5_nc1.8_n20_m10_05.dzn;1;60;60;0;7.26
24;inst_set1a_sf0.5_nc1.8_n20_m13_00.dzn;1;48;48;0;72.47
25;inst_set1a_sf0.5_nc1.8_n20_m13_01.dzn;1;42;42;0;16.79
26;inst_set1a_sf0.5_nc1.8_n20_m13_02.dzn;1;48;48;0;0.16
27;inst_set1a_sf0.5_nc1.8_n20_m13_03.dzn;1;39;39;0;1.24
28;inst_set1a_sf0.5_nc1.8_n20_m13_04.dzn;0;35;37;5.41;500.03
29;inst_set1a_sf0.5_nc1.8_n20_m13_05.dzn;0;40;45;11.11;500.06
30;inst_set1a_sf0.5_nc1.8_n20_m15_00.dzn;1;37;37;0;6.67
31;inst_set1a_sf0.5_nc1.8_n20_m15_01.dzn;1;44;44;0;0.72
32;inst_set1a_sf0.5_nc1.8_n20_m15_02.dzn;1;40;40;0;66.14
33;inst_set1a_sf0.5_nc1.8_n20_m15_03.dzn;1;44;44;0;0.89
34;inst_set1a_sf0.5_nc1.8_n20_m15_04.dzn;1;38;38;0;247.29
35;inst_set1a_sf0.5_nc1.8_n20_m15_05.dzn;0;42;45;6.67;500.08
36;inst_set1a_sf0.5_nc2.1_n20_m10_00.dzn;0;50;61;18.03;500.06
37;inst_set1a_sf0.5_nc2.1_n20_m10_01.dzn;0;57;85;32.94;500.03
38;inst_set1a_sf0.5_nc2.1_n20_m10_02.dzn;0;51;59;13.56;500.03
39;inst_set1a_sf0.5_nc2.1_n20_m10_03.dzn;0;58;65;10.77;500.05
40;inst_set1a_sf0.5_nc2.1_n20_m10_04.dzn;1;87;87;0;11.24
41;inst_set1a_sf0.5_nc2.1_n20_m10_05.dzn;1;45;45;0;0.44
42;inst_set1a_sf0.5_nc2.1_n20_m13_00.dzn;0;53;54;1.85;500.07
43;inst_set1a_sf0.5_nc2.1_n20_m13_01.dzn;1;50;50;0;2.0
44;inst_set1a_sf0.5_nc2.1_n20_m13_02.dzn;0;51;52;1.92;500.07
45;inst_set1a_sf0.5_nc2.1_n20_m13_03.dzn;1;53;53;0;429.16
46;inst_set1a_sf0.5_nc2.1_n20_m13_04.dzn;1;40;40;0;7.96
47;inst_set1a_sf0.5_nc2.1_n20_m13_05.dzn;0;49;51;3.92;500.01
48;inst_set1a_sf0.5_nc2.1_n20_m15_00.dzn;1;56;56;0;3.02
49;inst_set1a_sf0.5_nc2.1_n20_m15_01.dzn;1;36;36;0;320.57
50;inst_set1a_sf0.5_nc2.1_n20_m15_02.dzn;1;56;56;0;25.82
51;inst_set1a_sf0.5_nc2.1_n20_m15_03.dzn;1;41;41;0;35.84
52;inst_set1a_sf0.5_nc2.1_n20_m15_04.dzn;1;42;42;0;0.75
53;inst_set1a_sf0.5_nc2.1_n20_m15_05.dzn;1;34;34;0;0.72
54;inst_set1a_sf0.75_nc1.5_n20_m10_00.dzn;0;66;88;25.0;500.01
55;inst_set1a_sf0.75_nc1.5_n20_m10_01.dzn;1;108;108;0;320.34
56;inst_set1a_sf0.75_nc1.5_n20_m10_02.dzn;0;63;73;13.7;500.05
57;inst_set1a_sf0.75_nc1.5_n20_m10_03.dzn;0;67;100;33.0;500.02
58;inst_set1a_sf0.75_nc1.5_n20_m10_04.dzn;0;58;87;33.33;500.04
59;inst_set1a_sf0.75_nc1.5_n20_m10_05.dzn;0;81;104;22.12;500.05
60;inst_set1a_sf0.75_nc1.5_n20_m20_00.dzn;0;N/A;N/A;N/A;500.0
61;inst_set1a_sf0.75_nc1.5_n20_m20_01.dzn;1;38;38;0;0.84
62;inst_set1a_sf0.75_nc1.5_n20_m20_02.dzn;1;39;39;0;0.98
63;inst_set1a_sf0.75_nc1.5_n20_m20_03.dzn;1;51;51;0;238.58
64;inst_set1a_sf0.75_nc1.5_n20_m20_04.dzn;1;37;37;0;0.73
65;inst_set1a_sf0.75_nc1.5_n20_m20_05.dzn;1;41;41;0;1.04
66;inst_set1a_sf0.75_nc1.5_n20_m25_00.dzn;1;48;48;0;0.92
67;inst_set1a_sf0.75_nc1.5_n20_m25_01.dzn;1;38;38;0;1.0
68;inst_set1a_sf0.75_nc1.5_n20_m25_02.dzn;1;56;56;0;16.25
69;inst_set1a_sf0.75_nc1.5_n20_m25_03.dzn;0;N/A;N/A;N/A;500.0
70;inst_set1a_sf0.75_nc1.5_n20_m25_04.dzn;1;40;40;0;0.98
71;inst_set1a_sf0.75_nc1.5_n20_m25_05.dzn;1;41;41;0;1.1
72;inst_set1a_sf0.75_nc1.8_n20_m10_00.dzn;0;75;104;27.88;500.05
73;inst_set1a_sf0.75_nc1.8_n20_m10_01.dzn;0;72;90;20.0;500.06
74;inst_set1a_sf0.75_nc1.8_n20_m10_02.dzn;0;69;85;18.82;500.05
75;inst_set1a_sf0.75_nc1.8_n20_m10_03.dzn;0;79;99;20.2;500.01
76;inst_set1a_sf0.75_nc1.8_n20_m10_04.dzn;0;75;95;21.05;500.06
77;inst_set1a_sf0.75_nc1.8_n20_m10_05.dzn;1;85;85;0;161.02
78;inst_set1a_sf0.75_nc1.8_n20_m20_00.dzn;1;49;49;0;1.07
79;inst_set1a_sf0.75_nc1.8_n20_m20_01.dzn;1;42;42;0;8.37
80;inst_set1a_sf0.75_nc1.8_n20_m20_02.dzn;1;70;70;0;31.84
81;inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn;1;45;45;0;0.26
82;inst_set1a_sf0.75_nc1.8_n20_m20_04.dzn;1;49;49;0;0.79
83;inst_set1a_sf0.75_nc1.8_n20_m20_05.dzn;1;52;52;0;0.77
84;inst_set1a_sf0.75_nc1.8_n20_m25_00.dzn;1;34;34;0;0.88
85;inst_set1a_sf0.75_nc1.8_n20_m25_01.dzn;1;31;31;0;0.69
86;inst_set1a_sf0.75_nc1.8_n20_m25_02.dzn;1;43;43;0;1.05
87;inst_set1a_sf0.75_nc1.8_n20_m25_03.dzn;1;55;55;0;0.83
88;inst_set1a_sf0.75_nc1.8_n20_m25_04.dzn;1;49;49;0;0.93
89;inst_set1a_sf0.75_nc1.8_n20_m25_05.dzn;1;56;56;0;1.05
90;inst_set1a_sf0.75_nc2.1_n20_m10_00.dzn;0;102;113;9.73;500.06
91;inst_set1a_sf0.75_nc2.1_n20_m10_01.dzn;0;74;100;26.0;500.06
92;inst_set1a_sf0.75_nc2.1_n20_m10_02.dzn;0;66;93;29.03;500.05
93;inst_set1a_sf0.75_nc2.1_n20_m10_03.dzn;0;67;93;27.96;500.04
94;inst_set1a_sf0.75_nc2.1_n20_m10_04.dzn;0;84;103;18.45;500.05
95;inst_set1a_sf0.75_nc2.1_n20_m10_05.dzn;0;86;109;21.1;500.02
96;inst_set1a_sf0.75_nc2.1_n20_m20_00.dzn;1;40;40;0;6.41
97;inst_set1a_sf0.75_nc2.1_n20_m20_01.dzn;1;43;43;0;0.9
98;inst_set1a_sf0.75_nc2.1_n20_m20_02.dzn;0;N/A;N/A;N/A;500.0
99;inst_set1a_sf0.75_nc2.1_n20_m20_03.dzn;1;38;38;0;0.98
100;inst_set1a_sf0.75_nc2.1_n20_m20_04.dzn;1;50;50;0;9.55
101;inst_set1a_sf0.75_nc2.1_n20_m20_05.dzn;1;36;36;0;0.68
102;inst_set1a_sf0.75_nc2.1_n20_m25_00.dzn;1;47;47;0;0.9
103;inst_set1a_sf0.75_nc2.1_n20_m25_01.dzn;1;33;33;0;3.19
104;inst_set1a_sf0.75_nc2.1_n20_m25_02.dzn;1;43;43;0;0.85
105;inst_set1a_sf0.75_nc2.1_n20_m25_03.dzn;1;36;36;0;0.91
106;inst_set1a_sf0.75_nc2.1_n20_m25_04.dzn;1;52;52;0;1.04
107;inst_set1a_sf0.75_nc2.1_n20_m25_05.dzn;1;30;30;0;1.02
108;inst_set1a_sf0_nc1.5_n20_m10_00.dzn;0;62;85;27.06;500.04
109;inst_set1a_sf0_nc1.5_n20_m10_01.dzn;0;95;114;16.67;500.03
110;inst_set1a_sf0_nc1.5_n20_m10_02.dzn;0;61;84;27.38;500.05
111;inst_set1a_sf0_nc1.5_n20_m10_03.dzn;0;73;104;29.81;500.04
112;inst_set1a_sf0_nc1.5_n20_m10_04.dzn;0;70;94;25.53;500.04
113;inst_set1a_sf0_nc1.5_n20_m10_05.dzn;0;80;99;19.19;500.05
114;inst_set1a_sf0_nc1.5_n20_m20_00.dzn;1;50;50;0;33.73
115;inst_set1a_sf0_nc1.5_n20_m20_01.dzn;1;63;63;0;0.29
116;inst_set1a_sf0_nc1.5_n20_m20_02.dzn;1;36;36;0;2.3
117;inst_set1a_sf0_nc1.5_n20_m20_03.dzn;1;62;62;0;0.85
118;inst_set1a_sf0_nc1.5_n20_m20_04.dzn;1;32;32;0;59.24
119;inst_set1a_sf0_nc1.5_n20_m20_05.dzn;0;40;42;4.76;500.04
120;inst_set1a_sf0_nc1.5_n20_m25_00.dzn;1;41;41;0;0.93
121;inst_set1a_sf0_nc1.5_n20_m25_01.dzn;1;56;56;0;1.05
122;inst_set1a_sf0_nc1.5_n20_m25_02.dzn;0;N/A;N/A;N/A;500.0
123;inst_set1a_sf0_nc1.5_n20_m25_03.dzn;1;42;42;0;0.81
124;inst_set1a_sf0_nc1.5_n20_m25_04.dzn;1;40;40;0;0.84
125;inst_set1a_sf0_nc1.5_n20_m25_05.dzn;1;52;52;0;1.0
126;inst_set1a_sf0_nc1.8_n20_m10_00.dzn;1;112;112;0;390.44
127;inst_set1a_sf0_nc1.8_n20_m10_01.dzn;0;77;96;19.79;500.04
128;inst_set1a_sf0_nc1.8_n20_m10_02.dzn;0;69;92;25.0;500.04
129;inst_set1a_sf0_nc1.8_n20_m10_03.dzn;0;72;99;27.27;500.03
130;inst_set1a_sf0_nc1.8_n20_m10_04.dzn;0;52;73;28.77;500.03
131;inst_set1a_sf0_nc1.8_n20_m10_05.dzn;0;101;125;19.2;500.02
132;inst_set1a_sf0_nc1.8_n20_m20_00.dzn;1;42;42;0;1.84
133;inst_set1a_sf0_nc1.8_n20_m20_01.dzn;1;45;45;0;1.79
134;inst_set1a_sf0_nc1.8_n20_m20_02.dzn;1;37;37;0;0.94
135;inst_set1a_sf0_nc1.8_n20_m20_03.dzn;1;50;50;0;0.9
136;inst_set1a_sf0_nc1.8_n20_m20_04.dzn;1;48;48;0;3.02
137;inst_set1a_sf0_nc1.8_n20_m20_05.dzn;1;44;44;0;1.79
138;inst_set1a_sf0_nc1.8_n20_m25_00.dzn;1;39;39;0;1.09
139;inst_set1a_sf0_nc1.8_n20_m25_01.dzn;1;43;43;0;1.01
140;inst_set1a_sf0_nc1.8_n20_m25_02.dzn;1;37;37;0;1.0
141;inst_set1a_sf0_nc1.8_n20_m25_03.dzn;1;48;48;0;0.74
142;inst_set1a_sf0_nc1.8_n20_m25_04.dzn;1;41;41;0;1.1
143;inst_set1a_sf0_nc1.8_n20_m25_05.dzn;1;47;47;0;0.96
144;inst_set1a_sf0_nc2.1_n20_m10_00.dzn;0;73;100;27.0;500.03
145;inst_set1a_sf0_nc2.1_n20_m10_01.dzn;0;56;75;25.33;500.03
146;inst_set1a_sf0_nc2.1_n20_m10_02.dzn;0;72;97;25.77;500.01
147;inst_set1a_sf0_nc2.1_n20_m10_03.dzn;1;82;82;0;114.83
148;inst_set1a_sf0_nc2.1_n20_m10_04.dzn;1;69;69;0;11.41
149;inst_set1a_sf0_nc2.1_n20_m10_05.dzn;1;97;97;0;105.19
150;inst_set1a_sf0_nc2.1_n20_m20_00.dzn;1;50;50;0;15.46
151;inst_set1a_sf0_nc2.1_n20_m20_01.dzn;1;40;40;0;0.81
152;inst_set1a_sf0_nc2.1_n20_m20_02.dzn;1;53;53;0;2.35
153;inst_set1a_sf0_nc2.1_n20_m20_03.dzn;0;53;56;5.36;500.06
154;inst_set1a_sf0_nc2.1_n20_m20_04.dzn;1;44;44;0;0.85
155;inst_set1a_sf0_nc2.1_n20_m20_05.dzn;1;43;43;0;0.29
156;inst_set1a_sf0_nc2.1_n20_m25_00.dzn;1;44;44;0;0.98
157;inst_set1a_sf0_nc2.1_n20_m25_01.dzn;1;55;55;0;1.37
158;inst_set1a_sf0_nc2.1_n20_m25_02.dzn;1;50;50;0;0.95
159;inst_set1a_sf0_nc2.1_n20_m25_03.dzn;0;N/A;N/A;N/A;500.0
160;inst_set1a_sf0_nc2.1_n20_m25_04.dzn;1;52;52;0;0.95
161;inst_set1a_sf0_nc2.1_n20_m25_05.dzn;1;37;37;0;9.23
162;inst_set1a_sf1_nc1.5_n20_m20_00.dzn;1;50;50;0;9.99
163;inst_set1a_sf1_nc1.5_n20_m20_01.dzn;0;51;52;1.92;500.07
164;inst_set1a_sf1_nc1.5_n20_m20_02.dzn;0;42;45;6.67;500.08
165;inst_set1a_sf1_nc1.5_n20_m20_03.dzn;0;55;60;8.33;500.1
166;inst_set1a_sf1_nc1.5_n20_m20_04.dzn;0;42;49;14.29;500.01
167;inst_set1a_sf1_nc1.5_n20_m20_05.dzn;0;45;53;15.09;500.04
168;inst_set1a_sf1_nc1.5_n20_m25_00.dzn;1;42;42;0;121.57
169;inst_set1a_sf1_nc1.5_n20_m25_01.dzn;1;43;43;0;0.95
170;inst_set1a_sf1_nc1.5_n20_m25_02.dzn;1;47;47;0;0.92
