instNum;Instance;CP_Optimal;CP_LB;CP_Makespan;CP_Gap (%);CP_Runtime (s)
1;MSLIB_Set1_109.msrcp;0;28;29;3.45;500.05
2;MSLIB_Set1_1100.msrcp;0;N/A;N/A;N/A;500.0
3;MSLIB_Set1_1111.msrcp;0;35;36;2.78;500.18
4;MSLIB_Set1_1117.msrcp;0;N/A;N/A;N/A;500.0
5;MSLIB_Set1_1122.msrcp;0;N/A;N/A;N/A;500.0
6;MSLIB_Set1_1157.msrcp;0;13;14;7.14;500.23
7;MSLIB_Set1_1224.msrcp;1;20;20;0;17.95
8;MSLIB_Set1_1236.msrcp;0;N/A;N/A;N/A;500.0
9;MSLIB_Set1_1251.msrcp;1;24;24;0;25.03
10;MSLIB_Set1_1274.msrcp;0;N/A;N/A;N/A;500.0
11;MSLIB_Set1_1283.msrcp;1;24;24;0;19.13
12;MSLIB_Set1_1302.msrcp;1;18;18;0;10.88
13;MSLIB_Set1_1329.msrcp;1;75;75;0;223.87
14;MSLIB_Set1_1335.msrcp;0;49;71;30.99;500.0
15;MSLIB_Set1_1355.msrcp;1;96;96;0;9.64
16;MSLIB_Set1_1415.msrcp;1;46;46;0;0.88
17;MSLIB_Set1_1426.msrcp;1;50;50;0;0.21
18;MSLIB_Set1_1442.msrcp;1;46;46;0;0.86
19;MSLIB_Set1_1507.msrcp;1;69;69;0;0.86
20;MSLIB_Set1_1511.msrcp;1;37;37;0;0.9
21;MSLIB_Set1_1512.msrcp;1;59;59;0;0.78
22;MSLIB_Set1_1561.msrcp;1;57;57;0;1.24
23;MSLIB_Set1_1575.msrcp;1;58;58;0;0.93
24;MSLIB_Set1_162.msrcp;1;26;26;0;1.13
25;MSLIB_Set1_1620.msrcp;1;50;50;0;1.3
26;MSLIB_Set1_1621.msrcp;1;63;63;0;1.36
27;MSLIB_Set1_1625.msrcp;1;71;71;0;1.15
28;MSLIB_Set1_1653.msrcp;0;104;135;22.96;500.06
29;MSLIB_Set1_1659.msrcp;0;77;105;26.67;500.04
30;MSLIB_Set1_1754.msrcp;1;46;46;0;1.3
31;MSLIB_Set1_1810.msrcp;1;46;46;0;3.29
32;MSLIB_Set1_1831.msrcp;1;45;45;0;1.24
33;MSLIB_Set1_1846.msrcp;1;54;54;0;2.1
34;MSLIB_Set1_1865.msrcp;1;54;54;0;2.33
35;MSLIB_Set1_1871.msrcp;1;46;46;0;2.85
36;MSLIB_Set1_1908.msrcp;1;69;69;0;3.56
37;MSLIB_Set1_1920.msrcp;1;49;49;0;3.03
38;MSLIB_Set1_1946.msrcp;1;53;53;0;3.32
39;MSLIB_Set1_1953.msrcp;1;65;65;0;2.24
40;MSLIB_Set1_197.msrcp;1;22;22;0;0.97
41;MSLIB_Set1_2042.msrcp;0;57;60;5.0;500.04
42;MSLIB_Set1_2068.msrcp;1;48;48;0;4.1
43;MSLIB_Set1_2129.msrcp;1;65;65;0;5.01
44;MSLIB_Set1_2212.msrcp;1;42;42;0;6.38
45;MSLIB_Set1_2224.msrcp;1;64;64;0;3.35
46;MSLIB_Set1_2229.msrcp;1;34;34;0;3.85
47;MSLIB_Set1_2238.msrcp;1;52;52;0;6.0
48;MSLIB_Set1_2257.msrcp;1;36;36;0;3.97
49;MSLIB_Set1_2286.msrcp;1;51;51;0;6.22
50;MSLIB_Set1_2290.msrcp;1;49;49;0;5.48
51;MSLIB_Set1_2298.msrcp;1;48;48;0;5.7
52;MSLIB_Set1_2304.msrcp;1;43;43;0;6.65
53;MSLIB_Set1_2320.msrcp;0;122;175;30.29;500.11
54;MSLIB_Set1_2333.msrcp;0;122;168;27.38;500.14
55;MSLIB_Set1_2336.msrcp;0;121;160;24.38;500.05
56;MSLIB_Set1_2365.msrcp;1;69;69;0;158.75
57;MSLIB_Set1_240.msrcp;1;27;27;0;0.97
58;MSLIB_Set1_2409.msrcp;1;53;53;0;72.69
59;MSLIB_Set1_2433.msrcp;0;N/A;N/A;N/A;500.0
60;MSLIB_Set1_2442.msrcp;1;51;51;0;155.45
61;MSLIB_Set1_2447.msrcp;1;48;48;0;39.91
62;MSLIB_Set1_2716.msrcp;1;101;101;0;0.2
63;MSLIB_Set1_277.msrcp;1;25;25;0;1.03
64;MSLIB_Set1_2853.msrcp;1;91;91;0;1.07
65;MSLIB_Set1_2863.msrcp;1;105;105;0;0.92
66;MSLIB_Set1_2892.msrcp;1;94;94;0;1.1
67;MSLIB_Set1_2902.msrcp;1;75;75;0;0.93
68;MSLIB_Set1_2917.msrcp;1;95;95;0;1.09
69;MSLIB_Set1_2934.msrcp;1;75;75;0;1.05
70;MSLIB_Set1_2956.msrcp;1;88;88;0;0.98
71;MSLIB_Set1_3049.msrcp;1;100;100;0;1.05
72;MSLIB_Set1_3075.msrcp;1;91;91;0;1.06
73;MSLIB_Set1_3089.msrcp;1;92;92;0;1.45
74;MSLIB_Set1_3098.msrcp;1;82;82;0;1.19
75;MSLIB_Set1_3116.msrcp;1;100;100;0;2.12
76;MSLIB_Set1_3214.msrcp;1;109;109;0;3.36
77;MSLIB_Set1_3227.msrcp;1;90;90;0;2.71
78;MSLIB_Set1_3248.msrcp;1;80;80;0;2.51
79;MSLIB_Set1_3268.msrcp;1;76;76;0;3.32
80;MSLIB_Set1_3338.msrcp;1;91;91;0;25.43
81;MSLIB_Set1_3347.msrcp;0;N/A;N/A;N/A;500.0
82;MSLIB_Set1_3366.msrcp;1;96;96;0;1.44
83;MSLIB_Set1_3393.msrcp;1;100;100;0;4.73
84;MSLIB_Set1_3418.msrcp;1;73;73;0;2.75
85;MSLIB_Set1_3454.msrcp;1;80;80;0;2.56
86;MSLIB_Set1_3503.msrcp;1;77;77;0;4.65
87;MSLIB_Set1_3525.msrcp;1;87;87;0;5.03
88;MSLIB_Set1_3528.msrcp;1;98;98;0;7.03
89;MSLIB_Set1_3602.msrcp;1;70;70;0;2.88
90;MSLIB_Set1_3617.msrcp;1;76;76;0;6.18
91;MSLIB_Set1_3650.msrcp;0;127;181;29.83;500.06
92;MSLIB_Set1_3699.msrcp;1;87;87;0;1.95
93;MSLIB_Set1_3702.msrcp;1;68;68;0;4.21
94;MSLIB_Set1_3709.msrcp;1;81;81;0;3.6
95;MSLIB_Set1_3713.msrcp;1;87;87;0;3.14
96;MSLIB_Set1_3785.msrcp;1;70;70;0;2.74
97;MSLIB_Set1_3786.msrcp;1;89;89;0;85.22
98;MSLIB_Set1_3792.msrcp;1;80;80;0;4.3
99;MSLIB_Set1_3823.msrcp;1;83;83;0;7.91
100;MSLIB_Set1_3875.msrcp;1;86;86;0;3.92
101;MSLIB_Set1_3921.msrcp;1;103;103;0;22.3
102;MSLIB_Set1_3944.msrcp;1;100;100;0;15.37
103;MSLIB_Set1_3953.msrcp;1;87;87;0;23.8
104;MSLIB_Set1_3965.msrcp;1;127;127;0;12.53
105;MSLIB_Set1_399.msrcp;0;41;44;6.82;500.12
106;MSLIB_Set1_4009.msrcp;1;113;113;0;0.18
107;MSLIB_Set1_4019.msrcp;1;134;134;0;0.22
108;MSLIB_Set1_4035.msrcp;1;150;150;0;0.65
109;MSLIB_Set1_4042.msrcp;1;111;111;0;0.23
110;MSLIB_Set1_405.msrcp;0;33;36;8.33;500.14
111;MSLIB_Set1_4064.msrcp;1;122;122;0;0.25
112;MSLIB_Set1_4111.msrcp;1;110;110;0;0.29
113;MSLIB_Set1_4144.msrcp;1;119;119;0;0.86
114;MSLIB_Set1_4183.msrcp;1;137;137;0;0.84
115;MSLIB_Set1_4184.msrcp;1;137;137;0;0.87
116;MSLIB_Set1_419.msrcp;1;22;22;0;1.35
117;MSLIB_Set1_4252.msrcp;1;133;133;0;0.91
118;MSLIB_Set1_4260.msrcp;1;115;115;0;1.01
119;MSLIB_Set1_4313.msrcp;1;128;128;0;0.93
120;MSLIB_Set1_4321.msrcp;1;123;123;0;53.39
121;MSLIB_Set1_4341.msrcp;1;123;123;0;0.95
122;MSLIB_Set1_436.msrcp;0;24;25;4.0;500.03
123;MSLIB_Set1_4371.msrcp;1;118;118;0;1.01
124;MSLIB_Set1_4381.msrcp;1;84;84;0;1.04
125;MSLIB_Set1_4384.msrcp;1;129;129;0;1.32
126;MSLIB_Set1_439.msrcp;0;20;22;9.09;500.11
127;MSLIB_Set1_4394.msrcp;1;111;111;0;1.13
128;MSLIB_Set1_4437.msrcp;1;103;103;0;1.22
129;MSLIB_Set1_4490.msrcp;1;131;131;0;2.52
130;MSLIB_Set1_4492.msrcp;1;105;105;0;1.9
131;MSLIB_Set1_4505.msrcp;1;116;116;0;1.79
132;MSLIB_Set1_4515.msrcp;1;111;111;0;2.62
133;MSLIB_Set1_4564.msrcp;1;94;94;0;1.87
134;MSLIB_Set1_4591.msrcp;1;107;107;0;2.02
135;MSLIB_Set1_4595.msrcp;1;103;103;0;1.87
136;MSLIB_Set1_4616.msrcp;1;137;137;0;4.96
137;MSLIB_Set1_4638.msrcp;1;126;126;0;6.12
138;MSLIB_Set1_4640.msrcp;0;128;140;8.57;500.08
139;MSLIB_Set1_4683.msrcp;1;112;112;0;0.98
140;MSLIB_Set1_47.msrcp;0;47;67;29.85;500.05
141;MSLIB_Set1_478.msrcp;1;30;30;0;2.21
142;MSLIB_Set1_4791.msrcp;1;106;106;0;3.04
143;MSLIB_Set1_4795.msrcp;1;101;101;0;3.55
144;MSLIB_Set1_4823.msrcp;1;138;138;0;6.47
145;MSLIB_Set1_4872.msrcp;1;112;112;0;5.12
146;MSLIB_Set1_4944.msrcp;1;98;98;0;6.54
147;MSLIB_Set1_4954.msrcp;0;125;168;25.6;500.09
148;MSLIB_Set1_5046.msrcp;1;114;114;0;4.17
149;MSLIB_Set1_5056.msrcp;1;100;100;0;3.8
150;MSLIB_Set1_5109.msrcp;1;100;100;0;5.4
151;MSLIB_Set1_5130.msrcp;1;108;108;0;7.31
152;MSLIB_Set1_5150.msrcp;1;125;125;0;9.37
153;MSLIB_Set1_5198.msrcp;1;120;120;0;7.64
154;MSLIB_Set1_5372.msrcp;1;141;141;0;0.18
155;MSLIB_Set1_5380.msrcp;1;135;135;0;0.16
156;MSLIB_Set1_5386.msrcp;1;159;159;0;0.21
157;MSLIB_Set1_5565.msrcp;1;133;133;0;0.29
158;MSLIB_Set1_5654.msrcp;1;147;147;0;0.27
159;MSLIB_Set1_5675.msrcp;1;136;136;0;0.81
160;MSLIB_Set1_571.msrcp;0;18;20;10.0;500.08
161;MSLIB_Set1_5712.msrcp;1;166;166;0;1.15
162;MSLIB_Set1_5725.msrcp;1;132;132;0;0.88
163;MSLIB_Set1_5780.msrcp;1;168;168;0;1.56
164;MSLIB_Set1_58.msrcp;1;27;27;0;1.11
165;MSLIB_Set1_5806.msrcp;1;153;153;0;1.67
166;MSLIB_Set1_5857.msrcp;1;138;138;0;2.24
167;MSLIB_Set1_5859.msrcp;1;156;156;0;2.05
168;MSLIB_Set1_5881.msrcp;1;136;136;0;1.02
169;MSLIB_Set1_5884.msrcp;1;153;153;0;1.81
170;MSLIB_Set1_5888.msrcp;1;135;135;0;1.72
171;MSLIB_Set1_5985.msrcp;1;124;124;0;1.02
172;MSLIB_Set1_6079.msrcp;1;178;178;0;2.53
173;MSLIB_Set1_6143.msrcp;1;148;148;0;3.68
174;MSLIB_Set1_6179.msrcp;1;137;137;0;4.0
175;MSLIB_Set1_6198.msrcp;1;169;169;0;4.62
176;MSLIB_Set1_6209.msrcp;1;147;147;0;4.36
177;MSLIB_Set1_623.msrcp;1;18;18;0;3.48
178;MSLIB_Set1_6235.msrcp;1;133;133;0;4.76
179;MSLIB_Set1_6278.msrcp;1;183;183;0;7.73
180;MSLIB_Set1_633.msrcp;1;25;25;0;2.6
181;MSLIB_Set1_6366.msrcp;1;140;140;0;8.24
182;MSLIB_Set1_6456.msrcp;1;140;140;0;59.86
183;MSLIB_Set1_6566.msrcp;1;159;159;0;13.0
184;MSLIB_Set1_6589.msrcp;1;134;134;0;8.84
185;MSLIB_Set1_659.msrcp;1;27;27;0;5.0
186;MSLIB_Set1_667.msrcp;0;79;92;14.13;500.07
187;MSLIB_Set1_668.msrcp;0;88;129;31.78;500.08
188;MSLIB_Set1_677.msrcp;0;N/A;N/A;N/A;500.0
189;MSLIB_Set1_71.msrcp;0;27;28;3.57;500.03
190;MSLIB_Set1_716.msrcp;0;50;51;1.96;500.16
191;MSLIB_Set1_719.msrcp;0;43;44;2.27;500.11
192;MSLIB_Set1_743.msrcp;0;37;41;9.76;500.03
193;MSLIB_Set1_761.msrcp;0;N/A;N/A;N/A;500.0
194;MSLIB_Set1_799.msrcp;0;N/A;N/A;N/A;500.0
195;MSLIB_Set1_831.msrcp;1;20;20;0;8.95
196;MSLIB_Set1_855.msrcp;0;N/A;N/A;N/A;500.0
197;MSLIB_Set1_887.msrcp;0;N/A;N/A;N/A;500.0
198;MSLIB_Set1_960.msrcp;1;16;16;0;14.76
199;MSLIB_Set1_969.msrcp;1;20;20;0;6.74
200;MSLIB_Set1_995.msrcp;0;111;150;26.0;500.06
