instNum;Instance;CP_Optimal;CP_LB;CP_Makespan;CP_Gap (%);CP_Runtime (s)
1;inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn;1;61;61;0;99.55
2;inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn;1;66;66;0;163.06
3;inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn;1;54;54;0;25.72
4;inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn;1;58;58;0;3.87
5;inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn;0;49;52;5.77;500.06
6;inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn;1;47;47;0;227.9
7;inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn;1;48;48;0;1.09
8;inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn;0;38;40;5.0;500.05
9;inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn;1;49;49;0;391.47
10;inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn;0;48;53;9.43;500.05
11;inst_set1a_sf0.5_nc1.5_n20_m13_04.dzn;1;49;49;0;16.29
12;inst_set1a_sf0.5_nc1.5_n20_m13_05.dzn;1;40;40;0;2.33
13;inst_set1a_sf0.5_nc1.5_n20_m15_00.dzn;1;46;46;0;9.14
14;inst_set1a_sf0.5_nc1.5_n20_m15_01.dzn;1;40;40;0;79.95
15;inst_set1a_sf0.5_nc1.5_n20_m15_02.dzn;1;40;40;0;2.11
16;inst_set1a_sf0.5_nc1.5_n20_m15_03.dzn;1;38;38;0;0.97
17;inst_set1a_sf0.5_nc1.5_n20_m15_04.dzn;1;50;50;0;1.04
18;inst_set1a_sf0.5_nc1.5_n20_m15_05.dzn;1;59;59;0;1.04
19;inst_set1a_sf0.5_nc1.8_n20_m10_00.dzn;1;54;54;0;2.72
20;inst_set1a_sf0.5_nc1.8_n20_m10_01.dzn;1;72;72;0;51.62
21;inst_set1a_sf0.5_nc1.8_n20_m10_02.dzn;1;51;51;0;9.33
22;inst_set1a_sf0.5_nc1.8_n20_m10_04.dzn;1;59;59;0;7.33
23;inst_set1a_sf0.5_nc1.8_n20_m10_05.dzn;1;60;60;0;10.16
24;inst_set1a_sf0.5_nc1.8_n20_m13_00.dzn;1;48;48;0;17.58
25;inst_set1a_sf0.5_nc1.8_n20_m13_01.dzn;1;42;42;0;19.73
26;inst_set1a_sf0.5_nc1.8_n20_m13_02.dzn;1;48;48;0;0.77
27;inst_set1a_sf0.5_nc1.8_n20_m13_03.dzn;1;39;39;0;1.78
28;inst_set1a_sf0.5_nc1.8_n20_m13_04.dzn;0;36;37;2.7;500.01
29;inst_set1a_sf0.5_nc1.8_n20_m13_05.dzn;0;40;45;11.11;500.04
30;inst_set1a_sf0.5_nc1.8_n20_m15_00.dzn;1;37;37;0;6.42
31;inst_set1a_sf0.5_nc1.8_n20_m15_01.dzn;1;44;44;0;0.25
32;inst_set1a_sf0.5_nc1.8_n20_m15_02.dzn;1;40;40;0;34.42
33;inst_set1a_sf0.5_nc1.8_n20_m15_03.dzn;1;44;44;0;1.04
34;inst_set1a_sf0.5_nc1.8_n20_m15_04.dzn;1;38;38;0;45.25
35;inst_set1a_sf0.5_nc1.8_n20_m15_05.dzn;0;42;45;6.67;500.04
36;inst_set1a_sf0.5_nc2.1_n20_m10_00.dzn;1;61;61;0;397.39
37;inst_set1a_sf0.5_nc2.1_n20_m10_01.dzn;0;58;85;31.76;500.03
38;inst_set1a_sf0.5_nc2.1_n20_m10_02.dzn;0;51;59;13.56;500.05
39;inst_set1a_sf0.5_nc2.1_n20_m10_03.dzn;0;60;65;7.69;500.06
40;inst_set1a_sf0.5_nc2.1_n20_m10_04.dzn;1;87;87;0;11.22
41;inst_set1a_sf0.5_nc2.1_n20_m10_05.dzn;1;45;45;0;0.66
42;inst_set1a_sf0.5_nc2.1_n20_m13_00.dzn;0;53;54;1.85;500.02
43;inst_set1a_sf0.5_nc2.1_n20_m13_01.dzn;1;50;50;0;5.33
44;inst_set1a_sf0.5_nc2.1_n20_m13_02.dzn;1;52;52;0;188.72
45;inst_set1a_sf0.5_nc2.1_n20_m13_03.dzn;0;52;53;1.89;500.07
46;inst_set1a_sf0.5_nc2.1_n20_m13_04.dzn;1;40;40;0;25.76
47;inst_set1a_sf0.5_nc2.1_n20_m13_05.dzn;1;51;51;0;74.91
48;inst_set1a_sf0.5_nc2.1_n20_m15_00.dzn;1;56;56;0;6.77
49;inst_set1a_sf0.5_nc2.1_n20_m15_01.dzn;0;35;36;2.78;500.07
50;inst_set1a_sf0.5_nc2.1_n20_m15_02.dzn;0;N/A;N/A;N/A;500.0
51;inst_set1a_sf0.5_nc2.1_n20_m15_03.dzn;1;41;41;0;85.91
52;inst_set1a_sf0.5_nc2.1_n20_m15_04.dzn;1;42;42;0;0.82
53;inst_set1a_sf0.5_nc2.1_n20_m15_05.dzn;1;34;34;0;1.19
54;inst_set1a_sf0.75_nc1.5_n20_m10_00.dzn;1;88;88;0;307.62
55;inst_set1a_sf0.75_nc1.5_n20_m10_01.dzn;1;108;108;0;390.89
56;inst_set1a_sf0.75_nc1.5_n20_m10_02.dzn;1;73;73;0;83.21
57;inst_set1a_sf0.75_nc1.5_n20_m10_03.dzn;0;67;100;33.0;500.01
58;inst_set1a_sf0.75_nc1.5_n20_m10_04.dzn;0;58;87;33.33;500.06
59;inst_set1a_sf0.75_nc1.5_n20_m10_05.dzn;0;81;104;22.12;500.06
60;inst_set1a_sf0.75_nc1.5_n20_m20_00.dzn;0;N/A;N/A;N/A;500.0
61;inst_set1a_sf0.75_nc1.5_n20_m20_01.dzn;1;38;38;0;1.85
62;inst_set1a_sf0.75_nc1.5_n20_m20_02.dzn;1;39;39;0;13.8
63;inst_set1a_sf0.75_nc1.5_n20_m20_03.dzn;1;51;51;0;222.94
64;inst_set1a_sf0.75_nc1.5_n20_m20_04.dzn;1;37;37;0;1.49
65;inst_set1a_sf0.75_nc1.5_n20_m20_05.dzn;1;41;41;0;4.28
66;inst_set1a_sf0.75_nc1.5_n20_m25_00.dzn;1;48;48;0;1.91
67;inst_set1a_sf0.75_nc1.5_n20_m25_01.dzn;1;38;38;0;1.95
68;inst_set1a_sf0.75_nc1.5_n20_m25_02.dzn;1;56;56;0;35.73
69;inst_set1a_sf0.75_nc1.5_n20_m25_03.dzn;0;N/A;N/A;N/A;500.0
70;inst_set1a_sf0.75_nc1.5_n20_m25_04.dzn;1;40;40;0;32.75
71;inst_set1a_sf0.75_nc1.5_n20_m25_05.dzn;1;41;41;0;24.03
72;inst_set1a_sf0.75_nc1.8_n20_m10_00.dzn;0;75;104;27.88;500.06
73;inst_set1a_sf0.75_nc1.8_n20_m10_01.dzn;0;72;90;20.0;500.02
74;inst_set1a_sf0.75_nc1.8_n20_m10_02.dzn;0;70;85;17.65;500.05
75;inst_set1a_sf0.75_nc1.8_n20_m10_03.dzn;1;99;99;0;281.97
76;inst_set1a_sf0.75_nc1.8_n20_m10_04.dzn;1;95;95;0;283.05
77;inst_set1a_sf0.75_nc1.8_n20_m10_05.dzn;1;85;85;0;94.06
78;inst_set1a_sf0.75_nc1.8_n20_m20_00.dzn;1;49;49;0;5.14
79;inst_set1a_sf0.75_nc1.8_n20_m20_01.dzn;1;42;42;0;21.13
80;inst_set1a_sf0.75_nc1.8_n20_m20_02.dzn;1;70;70;0;32.47
81;inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn;1;45;45;0;1.48
82;inst_set1a_sf0.75_nc1.8_n20_m20_04.dzn;1;49;49;0;1.64
83;inst_set1a_sf0.75_nc1.8_n20_m20_05.dzn;1;52;52;0;1.84
84;inst_set1a_sf0.75_nc1.8_n20_m25_00.dzn;1;34;34;0;1.78
85;inst_set1a_sf0.75_nc1.8_n20_m25_01.dzn;1;31;31;0;3.34
86;inst_set1a_sf0.75_nc1.8_n20_m25_02.dzn;1;43;43;0;2.06
87;inst_set1a_sf0.75_nc1.8_n20_m25_03.dzn;1;55;55;0;1.89
88;inst_set1a_sf0.75_nc1.8_n20_m25_04.dzn;1;49;49;0;11.34
89;inst_set1a_sf0.75_nc1.8_n20_m25_05.dzn;1;56;56;0;1.91
90;inst_set1a_sf0.75_nc2.1_n20_m10_00.dzn;1;113;113;0;242.76
