instNum;Instance;BD_Optimal;BD_Makespan;BD_Iters;BD_Runtime (s)
1;inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn;1;61;2;0.65
2;inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn;1;66;3;0.18
3;inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn;1;54;4;2.25
4;inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn;1;58;1;0.15
5;inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn;1;52;5;2.13
6;inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn;1;47;5;2.95
7;inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn;1;48;1;0.07
8;inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn;1;39;4;0.28
9;inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn;1;49;3;0.17
10;inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn;1;53;3;0.18
11;inst_set1a_sf0.5_nc1.5_n20_m13_04.dzn;1;49;2;0.11
12;inst_set1a_sf0.5_nc1.5_n20_m13_05.dzn;1;40;1;0.07
13;inst_set1a_sf0.5_nc1.5_n20_m15_00.dzn;1;46;2;0.13
14;inst_set1a_sf0.5_nc1.5_n20_m15_01.dzn;1;40;3;0.17
15;inst_set1a_sf0.5_nc1.5_n20_m15_02.dzn;1;40;2;0.12
16;inst_set1a_sf0.5_nc1.5_n20_m15_03.dzn;1;38;1;0.07
17;inst_set1a_sf0.5_nc1.5_n20_m15_04.dzn;1;50;1;0.08
18;inst_set1a_sf0.5_nc1.5_n20_m15_05.dzn;1;59;2;0.13
19;inst_set1a_sf0.5_nc1.8_n20_m10_00.dzn;1;54;2;0.74
20;inst_set1a_sf0.5_nc1.8_n20_m10_01.dzn;1;72;3;3.61
21;inst_set1a_sf0.5_nc1.8_n20_m10_02.dzn;1;51;2;1.47
22;inst_set1a_sf0.5_nc1.8_n20_m10_04.dzn;1;59;3;1.16
23;inst_set1a_sf0.5_nc1.8_n20_m10_05.dzn;1;60;2;0.26
24;inst_set1a_sf0.5_nc1.8_n20_m13_00.dzn;1;48;3;0.78
25;inst_set1a_sf0.5_nc1.8_n20_m13_01.dzn;1;42;2;0.13
26;inst_set1a_sf0.5_nc1.8_n20_m13_02.dzn;1;48;1;0.07
27;inst_set1a_sf0.5_nc1.8_n20_m13_03.dzn;1;39;2;0.11
28;inst_set1a_sf0.5_nc1.8_n20_m13_04.dzn;1;37;3;0.31
29;inst_set1a_sf0.5_nc1.8_n20_m13_05.dzn;1;45;3;0.43
30;inst_set1a_sf0.5_nc1.8_n20_m15_00.dzn;1;37;2;0.12
31;inst_set1a_sf0.5_nc1.8_n20_m15_01.dzn;1;44;1;0.07
32;inst_set1a_sf0.5_nc1.8_n20_m15_02.dzn;1;40;2;0.13
33;inst_set1a_sf0.5_nc1.8_n20_m15_03.dzn;1;44;2;0.13
34;inst_set1a_sf0.5_nc1.8_n20_m15_04.dzn;1;38;2;0.13
35;inst_set1a_sf0.5_nc1.8_n20_m15_05.dzn;1;45;2;0.13
36;inst_set1a_sf0.5_nc2.1_n20_m10_00.dzn;1;61;2;0.57
37;inst_set1a_sf0.5_nc2.1_n20_m10_01.dzn;1;85;3;8.53
38;inst_set1a_sf0.5_nc2.1_n20_m10_02.dzn;1;59;4;0.37
39;inst_set1a_sf0.5_nc2.1_n20_m10_03.dzn;1;65;2;0.94
40;inst_set1a_sf0.5_nc2.1_n20_m10_04.dzn;1;87;2;0.93
41;inst_set1a_sf0.5_nc2.1_n20_m10_05.dzn;1;45;2;0.1
42;inst_set1a_sf0.5_nc2.1_n20_m13_00.dzn;1;54;2;0.13
43;inst_set1a_sf0.5_nc2.1_n20_m13_01.dzn;1;50;1;0.25
44;inst_set1a_sf0.5_nc2.1_n20_m13_02.dzn;1;52;4;0.24
45;inst_set1a_sf0.5_nc2.1_n20_m13_03.dzn;1;53;3;0.18
46;inst_set1a_sf0.5_nc2.1_n20_m13_04.dzn;1;40;2;0.12
47;inst_set1a_sf0.5_nc2.1_n20_m13_05.dzn;1;51;3;0.17
48;inst_set1a_sf0.5_nc2.1_n20_m15_00.dzn;1;56;3;0.19
49;inst_set1a_sf0.5_nc2.1_n20_m15_01.dzn;1;36;3;0.24
50;inst_set1a_sf0.5_nc2.1_n20_m15_02.dzn;1;56;2;0.12
51;inst_set1a_sf0.5_nc2.1_n20_m15_03.dzn;1;41;2;0.11
52;inst_set1a_sf0.5_nc2.1_n20_m15_04.dzn;1;42;1;0.07
53;inst_set1a_sf0.5_nc2.1_n20_m15_05.dzn;1;34;2;0.11
54;inst_set1a_sf0.75_nc1.5_n20_m10_00.dzn;1;88;1;36.17
55;inst_set1a_sf0.75_nc1.5_n20_m10_01.dzn;1;108;1;51.49
56;inst_set1a_sf0.75_nc1.5_n20_m10_02.dzn;1;73;1;5.07
57;inst_set1a_sf0.75_nc1.5_n20_m10_03.dzn;0;N/A;2;500.0
58;inst_set1a_sf0.75_nc1.5_n20_m10_04.dzn;0;N/A;1;500.0
59;inst_set1a_sf0.75_nc1.5_n20_m10_05.dzn;0;N/A;1;500.0
60;inst_set1a_sf0.75_nc1.5_n20_m20_00.dzn;1;46;2;0.14
61;inst_set1a_sf0.75_nc1.5_n20_m20_01.dzn;1;38;1;0.09
62;inst_set1a_sf0.75_nc1.5_n20_m20_02.dzn;1;39;1;0.09
63;inst_set1a_sf0.75_nc1.5_n20_m20_03.dzn;1;51;2;0.19
64;inst_set1a_sf0.75_nc1.5_n20_m20_04.dzn;1;37;2;0.15
65;inst_set1a_sf0.75_nc1.5_n20_m20_05.dzn;1;41;1;0.09
66;inst_set1a_sf0.75_nc1.5_n20_m25_00.dzn;1;48;1;0.11
67;inst_set1a_sf0.75_nc1.5_n20_m25_01.dzn;1;38;1;0.1
68;inst_set1a_sf0.75_nc1.5_n20_m25_02.dzn;1;56;1;0.12
69;inst_set1a_sf0.75_nc1.5_n20_m25_03.dzn;1;50;2;0.18
70;inst_set1a_sf0.75_nc1.5_n20_m25_04.dzn;1;40;2;0.16
71;inst_set1a_sf0.75_nc1.5_n20_m25_05.dzn;1;41;1;0.1
72;inst_set1a_sf0.75_nc1.8_n20_m10_00.dzn;0;N/A;2;500.0
73;inst_set1a_sf0.75_nc1.8_n20_m10_01.dzn;1;90;1;18.58
74;inst_set1a_sf0.75_nc1.8_n20_m10_02.dzn;1;85;2;5.8
75;inst_set1a_sf0.75_nc1.8_n20_m10_03.dzn;1;99;1;27.13
76;inst_set1a_sf0.75_nc1.8_n20_m10_04.dzn;1;95;2;32.83
77;inst_set1a_sf0.75_nc1.8_n20_m10_05.dzn;1;85;1;6.81
78;inst_set1a_sf0.75_nc1.8_n20_m20_00.dzn;1;49;2;0.16
79;inst_set1a_sf0.75_nc1.8_n20_m20_01.dzn;1;42;2;0.19
80;inst_set1a_sf0.75_nc1.8_n20_m20_02.dzn;1;70;1;0.92
81;inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn;1;45;1;0.09
82;inst_set1a_sf0.75_nc1.8_n20_m20_04.dzn;1;49;1;0.09
