instNum;Instance;CP_Optimal;CP_LB;CP_Makespan;CP_Gap (%);CP_Runtime (s)
1;inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn;1;61;61;0.0;192.38
2;inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn;0;60;68;11.76;500.01
3;inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn;1;54;54;0.0;40.06
4;inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn;1;58;58;0.0;4.11
5;inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn;0;47;52;9.62;500.01
6;inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn;0;42;47;10.64;500.03
7;inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn;1;48;48;0.0;0.74
8;inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn;0;38;40;5.0;500.03
9;inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn;0;48;49;2.04;500.05
10;inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn;0;48;53;9.43;500.06
11;inst_set1a_sf0.5_nc1.5_n20_m13_04.dzn;1;49;49;0.0;3.32
12;inst_set1a_sf0.5_nc1.5_n20_m13_05.dzn;1;40;40;0.0;4.22
13;inst_set1a_sf0.5_nc1.5_n20_m15_00.dzn;1;46;46;0.0;0.17
14;inst_set1a_sf0.5_nc1.5_n20_m15_01.dzn;1;40;40;0.0;0.97
15;inst_set1a_sf0.5_nc1.5_n20_m15_02.dzn;1;40;40;0.0;0.64
16;inst_set1a_sf0.5_nc1.5_n20_m15_03.dzn;1;38;38;0.0;0.69
17;inst_set1a_sf0.5_nc1.5_n20_m15_04.dzn;1;50;50;0.0;0.97
18;inst_set1a_sf0.5_nc1.5_n20_m15_05.dzn;1;59;59;0.0;0.16
19;inst_set1a_sf0.5_nc1.8_n20_m10_00.dzn;1;54;54;0.0;3.4
20;inst_set1a_sf0.5_nc1.8_n20_m10_01.dzn;1;72;72;0.0;26.33
21;inst_set1a_sf0.5_nc1.8_n20_m10_02.dzn;1;51;51;0.0;27.51
22;inst_set1a_sf0.5_nc1.8_n20_m10_04.dzn;1;59;59;0.0;16.54
23;inst_set1a_sf0.5_nc1.8_n20_m10_05.dzn;1;60;60;0.0;4.78
24;inst_set1a_sf0.5_nc1.8_n20_m13_00.dzn;1;48;48;0.0;43.83
25;inst_set1a_sf0.5_nc1.8_n20_m13_01.dzn;1;42;42;0.0;12.22
26;inst_set1a_sf0.5_nc1.8_n20_m13_02.dzn;1;48;48;0.0;0.11
27;inst_set1a_sf0.5_nc1.8_n20_m13_03.dzn;1;39;39;0.0;1.58
28;inst_set1a_sf0.5_nc1.8_n20_m13_04.dzn;0;35;37;5.41;500.01
29;inst_set1a_sf0.5_nc1.8_n20_m13_05.dzn;0;40;45;11.11;500.04
30;inst_set1a_sf0.5_nc1.8_n20_m15_00.dzn;1;37;37;0.0;0.63
31;inst_set1a_sf0.5_nc1.8_n20_m15_01.dzn;1;44;44;0.0;0.69
32;inst_set1a_sf0.5_nc1.8_n20_m15_02.dzn;1;40;40;0.0;1.45
33;inst_set1a_sf0.5_nc1.8_n20_m15_03.dzn;1;44;44;0.0;0.67
34;inst_set1a_sf0.5_nc1.8_n20_m15_04.dzn;0;37;38;2.63;500.06
35;inst_set1a_sf0.5_nc1.8_n20_m15_05.dzn;0;42;45;6.67;500.04
36;inst_set1a_sf0.5_nc2.1_n20_m10_00.dzn;0;50;61;18.03;500.02
37;inst_set1a_sf0.5_nc2.1_n20_m10_01.dzn;0;57;85;32.94;500.04
38;inst_set1a_sf0.5_nc2.1_n20_m10_02.dzn;0;51;59;13.56;500.01
39;inst_set1a_sf0.5_nc2.1_n20_m10_03.dzn;0;58;65;10.77;500.02
40;inst_set1a_sf0.5_nc2.1_n20_m10_04.dzn;1;87;87;0.0;14.05
41;inst_set1a_sf0.5_nc2.1_n20_m10_05.dzn;1;45;45;0.0;0.52
42;inst_set1a_sf0.5_nc2.1_n20_m13_00.dzn;0;53;54;1.85;500.06
43;inst_set1a_sf0.5_nc2.1_n20_m13_01.dzn;1;50;50;0.0;5.78
44;inst_set1a_sf0.5_nc2.1_n20_m13_02.dzn;0;51;52;1.92;500.01
