instNum;Instance;CP_Optimal;CP_LB;CP_Makespan;CP_Gap (%);CP_Runtime (s)
1;inst_set1a_sf0.5_nc1.5_n20_m10_00.dzn;1;61;61;0.0;149.9
2;inst_set1a_sf0.5_nc1.5_n20_m10_01.dzn;1;66;66;0.0;225.41
3;inst_set1a_sf0.5_nc1.5_n20_m10_02.dzn;1;54;54;0.0;26.43
4;inst_set1a_sf0.5_nc1.5_n20_m10_03.dzn;1;58;58;0.0;11.11
5;inst_set1a_sf0.5_nc1.5_n20_m10_04.dzn;1;52;52;0.0;60.85
6;inst_set1a_sf0.5_nc1.5_n20_m10_05.dzn;1;47;47;0.0;199.18
7;inst_set1a_sf0.5_nc1.5_n20_m13_00.dzn;1;48;48;0.0;1.35
8;inst_set1a_sf0.5_nc1.5_n20_m13_01.dzn;0;38;40;5.0;500.01
9;inst_set1a_sf0.5_nc1.5_n20_m13_02.dzn;0;48;49;2.04;500.03
10;inst_set1a_sf0.5_nc1.5_n20_m13_03.dzn;1;53;53;0.0;487.09
11;inst_set1a_sf0.5_nc1.5_n20_m13_04.dzn;1;49;49;0.0;6.82
12;inst_set1a_sf0.5_nc1.5_n20_m13_05.dzn;1;40;40;0.0;3.07
13;inst_set1a_sf0.5_nc1.5_n20_m15_00.dzn;1;46;46;0.0;1.09
14;inst_set1a_sf0.5_nc1.5_n20_m15_01.dzn;1;40;40;0.0;2.33
15;inst_set1a_sf0.5_nc1.5_n20_m15_02.dzn;1;40;40;0.0;0.98
16;inst_set1a_sf0.5_nc1.5_n20_m15_03.dzn;1;38;38;0.0;0.92
17;inst_set1a_sf0.5_nc1.5_n20_m15_04.dzn;1;50;50;0.0;3.75
18;inst_set1a_sf0.5_nc1.5_n20_m15_05.dzn;1;59;59;0.0;0.77
19;inst_set1a_sf0.5_nc1.8_n20_m10_00.dzn;1;54;54;0.0;3.93
20;inst_set1a_sf0.5_nc1.8_n20_m10_01.dzn;1;72;72;0.0;35.62
21;inst_set1a_sf0.5_nc1.8_n20_m10_02.dzn;1;51;51;0.0;11.52
22;inst_set1a_sf0.5_nc1.8_n20_m10_04.dzn;1;59;59;0.0;7.0
23;inst_set1a_sf0.5_nc1.8_n20_m10_05.dzn;1;60;60;0.0;11.25
24;inst_set1a_sf0.5_nc1.8_n20_m13_00.dzn;1;48;48;0.0;26.95
25;inst_set1a_sf0.5_nc1.8_n20_m13_01.dzn;1;42;42;0.0;15.71
26;inst_set1a_sf0.5_nc1.8_n20_m13_02.dzn;1;48;48;0.0;0.14
27;inst_set1a_sf0.5_nc1.8_n20_m13_03.dzn;1;39;39;0.0;4.61
28;inst_set1a_sf0.5_nc1.8_n20_m13_04.dzn;0;35;37;5.41;500.0
29;inst_set1a_sf0.5_nc1.8_n20_m13_05.dzn;0;41;45;8.89;500.03
30;inst_set1a_sf0.5_nc1.8_n20_m15_00.dzn;1;37;37;0.0;0.72
31;inst_set1a_sf0.5_nc1.8_n20_m15_01.dzn;1;44;44;0.0;0.87
32;inst_set1a_sf0.5_nc1.8_n20_m15_02.dzn;1;40;40;0.0;20.15
33;inst_set1a_sf0.5_nc1.8_n20_m15_03.dzn;1;44;44;0.0;1.28
34;inst_set1a_sf0.5_nc1.8_n20_m15_04.dzn;0;37;38;2.63;500.04
35;inst_set1a_sf0.5_nc1.8_n20_m15_05.dzn;0;42;45;6.67;500.03
36;inst_set1a_sf0.5_nc2.1_n20_m10_00.dzn;1;61;61;0.0;103.39
37;inst_set1a_sf0.5_nc2.1_n20_m10_01.dzn;0;57;85;32.94;500.02
38;inst_set1a_sf0.5_nc2.1_n20_m10_02.dzn;0;51;59;13.56;500.03
39;inst_set1a_sf0.5_nc2.1_n20_m10_03.dzn;1;65;65;0.0;401.15
40;inst_set1a_sf0.5_nc2.1_n20_m10_04.dzn;1;87;87;0.0;5.74
41;inst_set1a_sf0.5_nc2.1_n20_m10_05.dzn;1;45;45;0.0;0.71
42;inst_set1a_sf0.5_nc2.1_n20_m13_00.dzn;0;53;54;1.85;500.06
43;inst_set1a_sf0.5_nc2.1_n20_m13_01.dzn;1;50;50;0.0;5.55
44;inst_set1a_sf0.5_nc2.1_n20_m13_02.dzn;1;52;52;0.0;108.44
45;inst_set1a_sf0.5_nc2.1_n20_m13_03.dzn;0;52;53;1.89;500.03
46;inst_set1a_sf0.5_nc2.1_n20_m13_04.dzn;0;39;40;2.5;500.03
47;inst_set1a_sf0.5_nc2.1_n20_m13_05.dzn;1;51;51;0.0;66.55
48;inst_set1a_sf0.5_nc2.1_n20_m15_00.dzn;1;56;56;0.0;10.55
49;inst_set1a_sf0.5_nc2.1_n20_m15_01.dzn;1;36;36;0.0;93.78
50;inst_set1a_sf0.5_nc2.1_n20_m15_02.dzn;1;56;56;0.0;2.1
51;inst_set1a_sf0.5_nc2.1_n20_m15_03.dzn;1;41;41;0.0;0.15
52;inst_set1a_sf0.5_nc2.1_n20_m15_04.dzn;1;42;42;0.0;0.85
53;inst_set1a_sf0.5_nc2.1_n20_m15_05.dzn;1;34;34;0.0;0.85
54;inst_set1a_sf0.75_nc1.5_n20_m10_00.dzn;1;88;88;0.0;286.52
55;inst_set1a_sf0.75_nc1.5_n20_m10_01.dzn;1;108;108;0.0;267.86
56;inst_set1a_sf0.75_nc1.5_n20_m10_02.dzn;1;73;73;0.0;61.68
57;inst_set1a_sf0.75_nc1.5_n20_m10_03.dzn;0;67;100;33.0;500.04
58;inst_set1a_sf0.75_nc1.5_n20_m10_04.dzn;0;58;87;33.33;500.03
59;inst_set1a_sf0.75_nc1.5_n20_m10_05.dzn;0;81;104;22.12;500.03
60;inst_set1a_sf0.75_nc1.5_n20_m20_00.dzn;0;44;46;4.35;500.09
61;inst_set1a_sf0.75_nc1.5_n20_m20_01.dzn;1;38;38;0.0;2.1
62;inst_set1a_sf0.75_nc1.5_n20_m20_02.dzn;1;39;39;0.0;306.69
63;inst_set1a_sf0.75_nc1.5_n20_m20_03.dzn;1;51;51;0.0;148.13
64;inst_set1a_sf0.75_nc1.5_n20_m20_04.dzn;1;37;37;0.0;16.0
65;inst_set1a_sf0.75_nc1.5_n20_m20_05.dzn;1;41;41;0.0;16.3
66;inst_set1a_sf0.75_nc1.5_n20_m25_00.dzn;1;48;48;0.0;20.1
67;inst_set1a_sf0.75_nc1.5_n20_m25_01.dzn;1;38;38;0.0;40.34
68;inst_set1a_sf0.75_nc1.5_n20_m25_02.dzn;1;56;56;0.0;1.75
69;inst_set1a_sf0.75_nc1.5_n20_m25_03.dzn;1;50;50;0.0;3.6
70;inst_set1a_sf0.75_nc1.5_n20_m25_04.dzn;1;40;40;0.0;1.57
71;inst_set1a_sf0.75_nc1.5_n20_m25_05.dzn;1;41;41;0.0;1.44
72;inst_set1a_sf0.75_nc1.8_n20_m10_00.dzn;0;75;104;27.88;500.05
73;inst_set1a_sf0.75_nc1.8_n20_m10_01.dzn;1;90;90;0.0;388.07
74;inst_set1a_sf0.75_nc1.8_n20_m10_02.dzn;0;70;85;17.65;500.05
75;inst_set1a_sf0.75_nc1.8_n20_m10_03.dzn;1;99;99;0.0;239.04
76;inst_set1a_sf0.75_nc1.8_n20_m10_04.dzn;1;95;95;0.0;228.5
77;inst_set1a_sf0.75_nc1.8_n20_m10_05.dzn;1;85;85;0.0;93.63
78;inst_set1a_sf0.75_nc1.8_n20_m20_00.dzn;1;49;49;0.0;2.37
79;inst_set1a_sf0.75_nc1.8_n20_m20_01.dzn;1;42;42;0.0;20.17
80;inst_set1a_sf0.75_nc1.8_n20_m20_02.dzn;1;70;70;0.0;45.43
81;inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn;1;45;45;0.0;1.42
82;inst_set1a_sf0.75_nc1.8_n20_m20_04.dzn;1;49;49;0.0;1.49
83;inst_set1a_sf0.75_nc1.8_n20_m20_05.dzn;1;52;52;0.0;2.95
84;inst_set1a_sf0.75_nc1.8_n20_m25_00.dzn;1;34;34;0.0;1.27
85;inst_set1a_sf0.75_nc1.8_n20_m25_01.dzn;1;31;31;0.0;1.17
86;inst_set1a_sf0.75_nc1.8_n20_m25_02.dzn;1;43;43;0.0;2.14
87;inst_set1a_sf0.75_nc1.8_n20_m25_03.dzn;1;55;55;0.0;1.13
88;inst_set1a_sf0.75_nc1.8_n20_m25_04.dzn;1;49;49;0.0;1.11
89;inst_set1a_sf0.75_nc1.8_n20_m25_05.dzn;1;56;56;0.0;1.23
90;inst_set1a_sf0.75_nc2.1_n20_m10_00.dzn;1;113;113;0.0;260.84
91;inst_set1a_sf0.75_nc2.1_n20_m10_01.dzn;1;100;100;0.0;92.59
92;inst_set1a_sf0.75_nc2.1_n20_m10_02.dzn;0;67;93;27.96;500.04
93;inst_set1a_sf0.75_nc2.1_n20_m10_03.dzn;0;68;93;26.88;500.05
94;inst_set1a_sf0.75_nc2.1_n20_m10_04.dzn;0;83;103;19.42;500.02
95;inst_set1a_sf0.75_nc2.1_n20_m10_05.dzn;1;109;109;0.0;350.91
96;inst_set1a_sf0.75_nc2.1_n20_m20_00.dzn;0;40;41;2.44;500.08
97;inst_set1a_sf0.75_nc2.1_n20_m20_01.dzn;1;43;43;0.0;2.52
98;inst_set1a_sf0.75_nc2.1_n20_m20_02.dzn;0;46;50;8.0;500.07
99;inst_set1a_sf0.75_nc2.1_n20_m20_03.dzn;1;38;38;0.0;3.82
100;inst_set1a_sf0.75_nc2.1_n20_m20_04.dzn;1;50;50;0.0;53.61
101;inst_set1a_sf0.75_nc2.1_n20_m20_05.dzn;1;36;36;0.0;24.45
102;inst_set1a_sf0.75_nc2.1_n20_m25_00.dzn;1;47;47;0.0;1.18
103;inst_set1a_sf0.75_nc2.1_n20_m25_01.dzn;0;33;35;5.71;500.08
104;inst_set1a_sf0.75_nc2.1_n20_m25_02.dzn;1;43;43;0.0;1.42
105;inst_set1a_sf0.75_nc2.1_n20_m25_03.dzn;1;36;36;0.0;1.6
106;inst_set1a_sf0.75_nc2.1_n20_m25_04.dzn;1;52;52;0.0;1.41
107;inst_set1a_sf0.75_nc2.1_n20_m25_05.dzn;1;30;30;0.0;3.2
108;inst_set1a_sf0_nc1.5_n20_m10_00.dzn;0;62;85;27.06;500.06
109;inst_set1a_sf0_nc1.5_n20_m10_01.dzn;0;95;114;16.67;500.01
110;inst_set1a_sf0_nc1.5_n20_m10_02.dzn;0;61;84;27.38;500.04
111;inst_set1a_sf0_nc1.5_n20_m10_03.dzn;0;73;104;29.81;500.05
112;inst_set1a_sf0_nc1.5_n20_m10_04.dzn;1;94;94;0.0;259.35
113;inst_set1a_sf0_nc1.5_n20_m10_05.dzn;0;74;99;25.25;500.06
114;inst_set1a_sf0_nc1.5_n20_m20_00.dzn;1;50;50;0.0;41.08
115;inst_set1a_sf0_nc1.5_n20_m20_01.dzn;1;63;63;0.0;0.97
116;inst_set1a_sf0_nc1.5_n20_m20_02.dzn;1;36;36;0.0;6.9
117;inst_set1a_sf0_nc1.5_n20_m20_03.dzn;1;62;62;0.0;1.47
118;inst_set1a_sf0_nc1.5_n20_m20_04.dzn;1;32;32;0.0;106.05
119;inst_set1a_sf0_nc1.5_n20_m20_05.dzn;0;40;45;11.11;500.08
120;inst_set1a_sf0_nc1.5_n20_m25_00.dzn;1;41;41;0.0;1.57
121;inst_set1a_sf0_nc1.5_n20_m25_01.dzn;1;56;56;0.0;1.49
122;inst_set1a_sf0_nc1.5_n20_m25_02.dzn;1;32;32;0.0;1.34
123;inst_set1a_sf0_nc1.5_n20_m25_03.dzn;1;42;42;0.0;1.13
124;inst_set1a_sf0_nc1.5_n20_m25_04.dzn;1;40;40;0.0;1.6
125;inst_set1a_sf0_nc1.5_n20_m25_05.dzn;1;52;52;0.0;1.05
126;inst_set1a_sf0_nc1.8_n20_m10_00.dzn;1;112;112;0.0;155.14
127;inst_set1a_sf0_nc1.8_n20_m10_01.dzn;1;96;96;0.0;103.94
128;inst_set1a_sf0_nc1.8_n20_m10_02.dzn;1;92;92;0.0;131.34
129;inst_set1a_sf0_nc1.8_n20_m10_03.dzn;0;74;99;25.25;500.04
130;inst_set1a_sf0_nc1.8_n20_m10_04.dzn;1;73;73;0.0;289.96
131;inst_set1a_sf0_nc1.8_n20_m10_05.dzn;1;125;125;0.0;245.82
132;inst_set1a_sf0_nc1.8_n20_m20_00.dzn;1;42;42;0.0;1.37
133;inst_set1a_sf0_nc1.8_n20_m20_01.dzn;1;45;45;0.0;87.81
134;inst_set1a_sf0_nc1.8_n20_m20_02.dzn;1;37;37;0.0;16.89
135;inst_set1a_sf0_nc1.8_n20_m20_03.dzn;1;50;50;0.0;0.23
136;inst_set1a_sf0_nc1.8_n20_m20_04.dzn;1;48;48;0.0;8.97
137;inst_set1a_sf0_nc1.8_n20_m20_05.dzn;1;44;44;0.0;377.6
138;inst_set1a_sf0_nc1.8_n20_m25_00.dzn;1;39;39;0.0;1.81
139;inst_set1a_sf0_nc1.8_n20_m25_01.dzn;1;43;43;0.0;1.78
140;inst_set1a_sf0_nc1.8_n20_m25_02.dzn;1;37;37;0.0;1.9
141;inst_set1a_sf0_nc1.8_n20_m25_03.dzn;1;48;48;0.0;1.21
142;inst_set1a_sf0_nc1.8_n20_m25_04.dzn;1;41;41;0.0;1.61
143;inst_set1a_sf0_nc1.8_n20_m25_05.dzn;1;47;47;0.0;1.53
144;inst_set1a_sf0_nc2.1_n20_m10_00.dzn;1;100;100;0.0;489.33
145;inst_set1a_sf0_nc2.1_n20_m10_01.dzn;0;56;75;25.33;500.03
146;inst_set1a_sf0_nc2.1_n20_m10_02.dzn;0;73;97;24.74;500.04
147;inst_set1a_sf0_nc2.1_n20_m10_03.dzn;1;82;82;0.0;161.58
148;inst_set1a_sf0_nc2.1_n20_m10_04.dzn;1;69;69;0.0;17.36
149;inst_set1a_sf0_nc2.1_n20_m10_05.dzn;1;97;97;0.0;68.81
150;inst_set1a_sf0_nc2.1_n20_m20_00.dzn;1;50;50;0.0;3.05
151;inst_set1a_sf0_nc2.1_n20_m20_01.dzn;1;40;40;0.0;1.45
152;inst_set1a_sf0_nc2.1_n20_m20_02.dzn;0;53;54;1.85;500.12
153;inst_set1a_sf0_nc2.1_n20_m20_03.dzn;0;53;57;7.02;500.07
154;inst_set1a_sf0_nc2.1_n20_m20_04.dzn;1;44;44;0.0;2.41
155;inst_set1a_sf0_nc2.1_n20_m20_05.dzn;1;43;43;0.0;4.1
156;inst_set1a_sf0_nc2.1_n20_m25_00.dzn;1;44;44;0.0;3.18
157;inst_set1a_sf0_nc2.1_n20_m25_01.dzn;1;55;55;0.0;4.64
158;inst_set1a_sf0_nc2.1_n20_m25_02.dzn;1;50;50;0.0;1.34
159;inst_set1a_sf0_nc2.1_n20_m25_03.dzn;1;38;38;0.0;3.07
160;inst_set1a_sf0_nc2.1_n20_m25_04.dzn;1;52;52;0.0;1.15
161;inst_set1a_sf0_nc2.1_n20_m25_05.dzn;1;37;37;0.0;1.99
162;inst_set1a_sf1_nc1.5_n20_m20_00.dzn;1;50;50;0.0;40.67
163;inst_set1a_sf1_nc1.5_n20_m20_01.dzn;0;51;52;1.92;500.08
164;inst_set1a_sf1_nc1.5_n20_m20_02.dzn;0;42;46;8.7;500.01
165;inst_set1a_sf1_nc1.5_n20_m20_03.dzn;0;55;64;14.06;500.07
166;inst_set1a_sf1_nc1.5_n20_m20_04.dzn;0;42;50;16.0;500.02
167;inst_set1a_sf1_nc1.5_n20_m20_05.dzn;0;45;53;15.09;500.08
168;inst_set1a_sf1_nc1.5_n20_m25_00.dzn;0;41;45;8.89;500.1
169;inst_set1a_sf1_nc1.5_n20_m25_01.dzn;1;43;43;0.0;5.16
170;inst_set1a_sf1_nc1.5_n20_m25_02.dzn;1;47;47;0.0;1.9
171;inst_set1a_sf1_nc1.5_n20_m25_03.dzn;1;65;65;0.0;1.68
172;inst_set1a_sf1_nc1.5_n20_m25_04.dzn;1;37;37;0.0;4.5
173;inst_set1a_sf1_nc1.5_n20_m25_05.dzn;1;54;54;0.0;34.97
174;inst_set1a_sf1_nc1.5_n20_m30_00.dzn;1;49;49;0.0;1.79
